"CountryName","dom_move-CountryCode","dom_move-Date","Domestic Movement","dom_move-PolicyValue","dom_move-Flag","dom_move-Notes","dom_move-region","dom_move-value"
"Congo","COG",20200928,"C7: Restrictions on internal movement",0,NA,"""the Public Force was given a mandate to exercise health checks at the entry and exit of all the country's towns.""  http://archive.today/2020.10.01-125311/https://www.vox.cg/2020/09/le-gouvernement-allege-certaines-mesures-contre-la-covid-19/","congo","no measures"
"Colombia","COL",20200919,"C7: Restrictions on internal movement",0,NA,"""Are there restrictions on intercity or interstate travel?   There are no longer national prohibitions on intercity or interstate travel.  However regional and city governments may impose prohibitions or restrictions on a case-by-case basis.  Travel must also comply with biosanitary protocols established by the Ministry of Health. ""  http://web.archive.org/web/20200927082921/https://co.usembassy.gov/covid-19-information/","colombia","no measures"
"Cape Verde","CPV",20200910,"C7: Restrictions on internal movement",0,NA,"Inter-island travel is allowed but you’ll need to complete an online health surveillance form before you embark.  https://web.archive.org/web/20200919065615/https://www.gov.uk/foreign-travel-advice/cape-verde/coronavirus   ","cape verde","no measures"
"Costa Rica","CRI",20200828,"C7: Restrictions on internal movement",0,NA,"As of 14 September, there are no restrictions to interpovincial travel. I flagged this indicator on 3 June after checking with a local source that internal movement was reduced but never restricted in Costa Rica.    http://web.archive.org/web/20200914225148/https://cr.usembassy.gov/es/covid-19-coronavirus-informacion/","costa rica","no measures"
"Cuba","CUB",20200923,"C7: Restrictions on internal movement",2,"National","""Cuban authorities announced on Saturday, September 12, that the additional measures introduced earlier in the month to curb the spread of the coronavirus disease (COVID-19) will be extended until at least October 1. Interprovincial trips remain prohibited, with the exception of cargo and essential supplies, and the curfew in Havana between the hours of 19:00 and 05:00 (local time) has been extended for a further two weeks.""    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","restrictions in place"
"Cayman Islands","CYM",20200505,"C7: Restrictions on internal movement",2,"Regional","Restrictions on travelling to Little Cayman and Cayman Brac. No restrictions on internal travel to Grand Cayman (i.e from Little Cayman/Cayman Brac to Grand Cayman).    https://web.archive.org/web/20200807150913/http://gazettes.gov.ky/portal/pls/portal/docs/1/12952547.PDF  https://web.archive.org/web/20200807150926/http://gazettes.gov.ky/portal/pls/portal/docs/1/12952513.PDF  https://web.archive.org/web/20200804084431/https://www.exploregov.ky/government-covid19-policies","cayman islands","restrictions in place"
"Cyprus","CYP",20200909,"C7: Restrictions on internal movement",0,NA,"No change in policy. There are no curfews or movement restrictions in the Republic of Cyprus.  There are no curfews in the Turkish Republic of Northern Cyprus.    http://web.archive.org/web/20200910192821/https://cy.usembassy.gov/covid-19-information/","cyprus","no measures"
"Czech Republic","CZE",20201005,"C7: Restrictions on internal movement",1,"Regional","No change in policy found.","czech republic","recommend not to travel between regions"
"Germany","DEU",20200904,"C7: Restrictions on internal movement",0,NA,"Mecklenburg-Vorpommern allows day tourists from other states again from the 4th of September.    https://web.archive.org/save/https://www.morgenpost.de/vermischtes/article228706533/Corona-Regeln-der-Bundeslaender-im-Ueberblick-Abstandsregeln-Kontaktbeschraenkung.html","germany","no measures"
"Djibouti","DJI",20200822,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel    Source: http://web.archive.org/web/20200902090838/https://dj.usembassy.gov/covid-19-information/","djibouti","no measures"
"Dominica","DMA",20200627,"C7: Restrictions on internal movement",0,NA,"Since businesses, shops, offices, churches, sports facilities and beauty salons are now operating normally without restriction, it could be implied that there are no longer restrictions in place. See: https://web.archive.org/web/20200706194429/https://www.gov.uk/foreign-travel-advice/dominica/coronavirus","dominica","no measures"
"Denmark","DNK",20200924,"C7: Restrictions on internal movement",0,NA,"Movement continues freely within Denmark. Face masks are required on public transport and in taxis across Denmark and the public is asked to avoid travel at peak times.  All public transport in Denmark is undergoing a more stringent cleaning protocol.  http://web.archive.org/web/20200928150225/https://www.visitdenmark.com/denmark/travel-essentials/safe-travel-denmark","denmark","no measures"
"Dominican Republic","DOM",20200912,"C7: Restrictions on internal movement",2,"Regional","There is a curfew in Santo Domingo, and some of the other larger cities and provinces, from Monday through Friday from 7pm to 5am and on Saturdays and Sundays from 5pm to 5am.  In some provinces the curfew is from 8pm to 5am every day.  Full details can be found on https://presidencia.gob.do/ [web archive unavailable, accessed 24th September 2020]","dominican republic","restrictions in place"
"Algeria","DZA",20200910,"C7: Restrictions on internal movement",2,"Regional","Conflicting reports regarding inter-provincial travel in curfew areas. US Embassy in Algeria maintains that domestic travel between provinces where curfews are in place is banned, however, the UK Foreign Office is advising that travel between provinces is 'now permitted' (unable to find exact date that this change occurred).  https://web.archive.org/web/20200910153722/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus  ---  https://web.archive.org/web/20200910162436/https://dz.usembassy.gov/covid-19-information/","algeria","restrictions in place"
"Ecuador","ECU",20200914,"C7: Restrictions on internal movement",0,NA,"On Monday, September 14, authorities lifted the national state of emergency initially declared in March in response to the coronavirus disease (COVID-19) pandemic. Each municipal government will be responsible in determining measures such as maximum capacities for public transport and institutions, operational capacity of private businesses, the circulation of private vehicles against license plate numbers, health prevention protocols for businesses and industries, amongst others.    Individuals are permitted to move freely within the country.    https://web.archive.org/web/20200918194527/https://www.garda.com/crisis24/news-alerts/379341/ecuador-authorities-lift-state-of-emergency-and-additional-restrictions-september-14-update-16    **code change 0 (Previously 1G) as the lifting of the national state of emergency ended restrictions on internal movement around the country including curfews.","ecuador","no measures"
"Egypt","EGY",20200902,"C7: Restrictions on internal movement",2,"National","No change. https://web.archive.org/web/20200912072801/https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/","egypt","restrictions in place"
"Eritrea","ERI",20200929,"C7: Restrictions on internal movement",2,"National","Are there restrictions on intercity or interstate travel? Yes.  Motorized transportation (both public and private) requires government approval. People are free to travel by foot or by bicycle.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","restrictions in place"
"Spain","ESP",20200930,"C7: Restrictions on internal movement",2,"Regional","On September 30, the Ministry of Health (Ministerio de Sanidad) announces that the Government and Autonomous Communities (CCAA) stating, ""Populations with more than 100,000 inhabitants that have an incidence of more than 500 cases per 100,000 people in the last 14 days, a positivity of diagnostic tests for active infection greater than 10% and that are in CCAA with an ICU bed occupancy per Covid-19 patients greater than 35% of the usual allocation will have to take special measures.""    Special measures include strict restriction of entry and exit of people from the affected municipalities. Circulation on highways and roads that pass or cross these municipalities will be allowed as long as it has its origin and destination outside of them.    Link:  https://web.archive.org/web/20201005180741/https://www.mscbs.gob.es/gabinete/notasPrensa.do?id=5066    Code remains at 2T as the policy is in place for nince cities or municipalities across the country. ","spain","restrictions in place"
"Estonia","EST",20200818,"C7: Restrictions on internal movement",0,NA,"No new update. Source: http://web.archive.org/web/20200826180648/https://www.visitestonia.com/en/why-estonia/coronavirus-and-travelling-to-estonia","estonia","no measures"
"Ethiopia","ETH",20200821,"C7: Restrictions on internal movement",2,"Regional","""At this time, Tigray requires any person entering the State to quarantine for seven days unless the traveler presents a negative COVID-19 test (PCR and/or serology) taken less than 24 hours prior to the time of arrival.""     https://web.archive.org/web/20200902152715/https://et.usembassy.gov/covid-19-information/","ethiopia","restrictions in place"
"Finland","FIN",20200929,"C7: Restrictions on internal movement",0,NA,"""Are there restrictions on intercity or interstate travel? No.""    http://web.archive.org/web/20201010152854/https://fi.usembassy.gov/covid-19-information/  ","finland","no measures"
"Fiji","FJI",20200717,"C7: Restrictions on internal movement",0,NA,"""Domestic travel is returning to normal"". https://web.archive.org/web/20200727224748/https://www.gov.uk/foreign-travel-advice/fiji/coronavirus","fiji","no measures"
"France","FRA",20200928,"C7: Restrictions on internal movement",1,"Regional","The localisation of COVID responses with different alert zones in different departments is an even stronger recommendation to avoid critical zones.","france","recommend not to travel between regions"
"Gabon","GAB",20200915,"C7: Restrictions on internal movement",2,"Regional","Restrictions on travel within the Grande Libreville area have been lifted. Travel outside Libreville to inland Gabon remains restricted. https://web.archive.org/web/20200923071721/https://www.gov.uk/foreign-travel-advice/gabon/coronavirus","gabon","restrictions in place"
"United Kingdom","GBR",20200925,"C7: Restrictions on internal movement",2,"Regional","People in Llanelli, Cardiff, Swansea, Merthyr Tydfil, Bridgend, Blaenau Gwent,Newport, Rhondda Cynon Taf and Caerphilly are under local lockdowns and should not enter or leave those areas without a reasonable excuse like going to work, unless you can do so from home, or school.    However, as per my flag on Aug 1, I suspect that this does not actually rise to 2T. For the sake of consistency, 2T is maintained, but further review is required.     https://web.archive.org/web/20201004030226/https://www.bbc.com/news/uk-england-52934822","united kingdom","restrictions in place"
"Georgia","GEO",20201001,"C7: Restrictions on internal movement",1,"National","No change.","georgia","recommend not to travel between regions"
"Ghana","GHA",20200803,"C7: Restrictions on internal movement",0,NA,"Domestic flights are permitted to fly https://web.archive.org/web/20200812014307/https://www.gov.uk/foreign-travel-advice/ghana/coronavirus","ghana","no measures"
"Gibraltar","GIB",20200813,"C7: Restrictions on internal movement",0,NA,"No measures in place.","gibraltar","no measures"
"Guinea","GIN",20200915,"C7: Restrictions on internal movement",2,"Regional","'The state of emergency was extended again on 15 September for a period of one month. ... Movement around the country is restricted and a negative COVID test certificate within 14 days of travel outside of Conakry is required.'    https://archive.vn/lYgO1","guinea","restrictions in place"
"Gambia","GMB",20200929,"C7: Restrictions on internal movement",0,NA,"Are there restrictions on intercity or interstate travel? No  Source: http://web.archive.org/web/20201007123755/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/","gambia","no measures"
"Greece","GRC",20200929,"C7: Restrictions on internal movement",1,"Regional","""Travel in Greece  It is mandatory to wear face-masks on public transport (including flights and ferries), at airports and in taxis.    Travel in a private car or a taxi is limited to a maximum of 3 adult passengers per vehicle, in addition to the driver. Any children in the vehicle do not count towards this limit. When travelling in a taxi, all passengers must wear face-masks.    Travel to and from islands  You may travel throughout Greece, including to the islands.    If you are travelling via ferry, you will need to complete a health questionnaire and hand it to the ferry operator before boarding. The necessary forms will be provided by the operator: you should contact them directly if you need further information. Temperature checks may also be carried out before boarding; and it is obligatory to wear masks on all ferries, including on open air decks, where capacity is limited to allow for social distancing. No celebrations are allowed on board ferries.    If you are travelling by internal (domestic) flights, you are also required to wear masks throughout the journey. Specific measures relating to check-in, baggage allowances and other details are in place to reduce the spread of coronavirus. You should check with your operator directly for further detail.    Since 1 August, cruise ships can dock at Piraeus, Rhodes, Heraklion, Volos, Corfu and Katakolo. After their first docking, the ships may visit any other Greek port on their itinerary. Rules will be kept under review.    Travel by private sailboats (and yachts) is now permitted within Greece. If your vessel is arriving in Greece from another country, you must comply with specific requirements upon your first landing in Greece. No passengers are permitted on the vessel, except for the crew. Upon arrival, you must present to harbour authorities, who will require the completion of a health declaration, and mandatory testing (to be paid for by the occupants of each vessel).""   http://web.archive.org/web/20201011054526/https://www.gov.uk/foreign-travel-advice/greece/coronavirus","greece","recommend not to travel between regions"
"Greenland","GRL",20200731,"C7: Restrictions on internal movement",1,"National","This is likely part of PHASE 2 relaxing of restrictions, which began on the 21st of July. PHASE 2 is valid through 31 December 2020. See: https://visitgreenland.com/articles/corona-virus-status/ (web archive link not working)","greenland","recommend not to travel between regions"
"Guatemala","GTM",20200918,"C7: Restrictions on internal movement",0,NA,"National commercial flights have also been resumed in the country from 18 September.    http://web.archive.org/web/20200921212831/https://www.prensalibre.com/guatemala/comunitario/en-imagenes-a-dos-dias-de-su-reapertura-asi-luce-el-aeropuerto-internacional-la-aurora/","guatemala","no measures"
"Guam","GUM",20200815,"C7: Restrictions on internal movement",1,"National","'Guam residents are strongly discouraged from unnecessary off-island travel to any destination' http://archive.fo/XBZwt","guam","recommend not to travel between regions"
"Guyana","GUY",20201001,"C7: Restrictions on internal movement",2,"Regional","On the 30th of September the Government of Guyana released the Covid Emergency Measures No.10 to  be effective from 1st October to 31st October, 2020. Travel is still restricted for region 7 and 9.  http://web.archive.org/web/20201001040713/https://officialgazette.gov.gy/images/gazette2020/sept/Extra_30SEPTEMBER2020COViD19_10.pdf ","guyana","restrictions in place"
"Hong Kong","HKG",20200806,"C7: Restrictions on internal movement",0,NA,"While there don't seem to be any restrictions on travel within HK, there are restrictions for travel between HK, mainland China and Macao. Interpreting this as 'internal' movement is a sensitive issue due to HK's special administrative status and I'm not sure if I should code it as a ""0"" or ""1"".    ""All border crossings with mainland China remain closed indefinitely, with the exception of the Shenzhen Bay Checkpoint and the Hong Kong-Zhuhai-Macau Bridge. All passengers wanting to board a shuttle bus to cross the bridge departing from Hong Kong to Macau must present a certificate confirming that they have tested negative for COVID-19 within seven days of their departure. The special ferry service between Taipa Ferry Terminal in Macao and Hong Kong International Airport has now ceased operations. All ferry crossings between Hong Kong and mainland China are currently not in operation. Kai Tak Cruise and Ocean Terminals are also closed to passengers indefinitely.""   http://web.archive.org/web/20200824064537/https://www.gov.uk/foreign-travel-advice/hong-kong/entry-requirements","hong kong","no measures"
"Honduras","HND",20200920,"C7: Restrictions on internal movement",2,"National","Movement Restrictions:    Is a curfew in place? Yes  Are there restrictions on intercity or interstate travel? Yes, a letter of safe passage or permission to transit called a salvoconducto is required.  Source: http://web.archive.org/web/20200930104445/https://hn.usembassy.gov/covid-19-information/","honduras","restrictions in place"
"Croatia","HRV",20200907,"C7: Restrictions on internal movement",0,NA,"No restrictions on intercity and interstate travel.    https://web.archive.org/web/20200917135907/https://hr.usembassy.gov/covid-19-information-2/","croatia","no measures"
"Haiti","HTI",20200921,"C7: Restrictions on internal movement",0,NA,"No new update","haiti","no measures"
"Hungary","HUN",20201001,"C7: Restrictions on internal movement",0,NA,"No change.","hungary","no measures"
"Indonesia","IDN",20200929,"C7: Restrictions on internal movement",2,"Regional","Domestic travel has been allowed since May at reduced frequency which is increasing in frequency. All means of travel are required to take strict precautions.     https://web.archive.org/web/20201009072029/https://www.headout.com/post-covid19-travelling-to-indonesia      ","indonesia","restrictions in place"
"India","IND",20200930,"C7: Restrictions on internal movement",2,"Regional","Restriction is imposed in some containment zones, however, there will be no restrictions on inter and intrastate movement of goods and services and no separate approval/e-permit/permission is required.     https://web.archive.org/web/20201013071047/https://covidindia.org/wp-content/uploads/2020/10/MHAOrderDt_30092020.pdf","india","restrictions in place"
"Ireland","IRL",20201007,"C7: Restrictions on internal movement",2,"National","https://web.archive.org/web/*/https://www.gov.ie/en/publication/ad569-level-3/  Stay in your county apart from work, education, medical and other essential purposes, if appropriate.","ireland","restrictions in place"
"Iran","IRN",20201003,"C7: Restrictions on internal movement",2,"National","As of 3rd October, Iran has re-imposed strict measures to tackle COVID19.    ""The restrictions are largely the same as those taken early in the pandemic in Iran, which stopped short of imposing a full lockdown, despite facing the Middle East's deadliest outbreak.""  Early on, there had been a ban in interstate travel in Iran.     http://web.archive.org/web/20201005130402/https://english.alarabiya.net/en/coronavirus/2020/10/04/Coronavirus-Iran-reimposes-restrictive-COVID-19-measures-in-Tehran","iran","restrictions in place"
"Iraq","IRQ",20200910,"C7: Restrictions on internal movement",1,"National","From 10th September, ""the Higher Committee for Health and National Safety, headed by Prime Minister Mustafa al-Kadhimi, has permitted movement of the citizens between provinces""  https://web.archive.org/web/20200910164846/http://www.xinhuanet.com/english/2020-09/10/c_139359134.htm","iraq","recommend not to travel between regions"
"Iceland","ISL",20200914,"C7: Restrictions on internal movement",0,NA,"No restrictions found.    http://web.archive.org/web/20200923145038/https://www.covid.is/sub-categories/what-is-ban-on-public-events  http://web.archive.org/web/20200923145334/https://www.government.is/news/article/2020/09/04/Less-stringent-restrictions-on-gatherings-take-effect-on-7-September/    http://web.archive.org/web/20200923145550/https://www.gov.uk/foreign-travel-advice/iceland/coronavirus","iceland","no measures"
"Israel","ISR",20201010,"C7: Restrictions on internal movement",2,"National","The corona cabinet is expected to meet on Tuesday to discuss relaxing lockdown measures. However, nothing is expected to change until Sunday.    http://web.archive.org/web/20201011140051/https://www.jpost.com/israel-news/coronavirus-israel-readies-for-first-steps-toward-exiting-lockdown-645271    Lockdown tightened in Israel on Friday 25 September amid a rise in infections. Police and roadblocks deployed on highways and at entrances to city to prevent people travelling during lockdown        https://web.archive.org/web/20201001094553/https://www.timesofisrael.com/israels-lockdown-roadblocks-empty-beaches-outdoor-prayers-cyclists-galore/   ","israel","restrictions in place"
"Italy","ITA",20200602,"C7: Restrictions on internal movement",0,NA,"All travel between Italian regions is allowed. The ban was lifted as of the 2nd of June. People can now travel between Italian regions without curfew or restrictions  https://web.archive.org/web/20200523090446/http://www.italia.it/en/useful-info/covid-19-information-and-updates-for-tourists.html","italy","no measures"
"Jamaica","JAM",20200825,"C7: Restrictions on internal movement",2,"National","It is still current that there are restrictions on internal movement in Jamaica. “The time for the island-wide curfew has been brought forward from 11pm to 5am and will now run from  9pm to 5am daily, effective Thursday, August 27”. Source: http://web.archive.org/web/20200906172732/http://www.loopjamaica.com/content/83-new-covid-19-cases-tighter-curfew-hours-all-parishes Also, “St. Catherine, Kingston & St. Andrew, Clarendon and St. Thomas have been placed under separate curfew from 7pm to 5am” and “localised quarantines are in place in some communities in St Thomas [Sandy Bay, Clarendon; Church Corner, St. Thomas]”  Source: http://web.archive.org/web/20200906153601/https://www.gov.uk/foreign-travel-advice/jamaica/coronavirus","jamaica","restrictions in place"
"Jordan","JOR",20200925,"C7: Restrictions on internal movement",0,NA,"https://web.archive.org/web/20201004210111/https://jo.usembassy.gov/covid-19-information/","jordan","no measures"
"Japan","JPN",20200910,"C7: Restrictions on internal movement",1,"Regional","Voluntary restrictions have been loosened again in Tokyo,  but this does not seem to affect travelling.   https://www.japantimes.co.jp/news/2020/09/10/national/tokyo-bars-hours-coronavirus/","japan","recommend not to travel between regions"
"Kazakhstan","KAZ",20201009,"C7: Restrictions on internal movement",2,"Regional","On October 9, Shymkent city administration extended quarantine until October 26 by restricting bus movements between Shymkent and other cities/regions. Link: https://archive.vn/LQ26F","kazakhstan","restrictions in place"
