"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Burundi","BDI",20201002,"C8: International travel controls",2,NA,"Passengers are screened at the airport for elevated temperature and asked to complete a health form that includes questions about travel in the last three weeks. COVID-19 certificates are required for travellers entering or leaving the country. Travellers from high-risk countries are required to undergo quarantine [The Ministry of Health has expanded quarantine measures related to COVID-19 for all travellers arriving in Burundi from multiple countries – China, France, Germany, Iran, Italy, Japan, South Korea, Spain, the United Kingdom, Australia, all member states of the Schengen zone, and the United States. The travellers will be quarantined in a hotel facility for 14 days]. See https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19 [accessed 12 October 2020, web archive unavailable, webpage last updated October 8 2020]","burundi","quarantine arrivals from some/ all regions"
"Belgium","BEL",20200930,"C8: International travel controls",3,NA,"A ban on certain countries still applies. However Belgium has eased its travel restrictions on some ""red"" countries.    ""Click on the country or region where you are staying to find out what the conditions are when you return to Belgium.    These are the possibilities :    A COVID test and a quarantine are mandatory;  A COVID test and a quarantine are recommended;  A COVID test and a quarantine are not mandatory on return to Belgium.  Transit is possible, by any means of transport, without conditions or measures upon arrival in Belgium, including travel through red zones.    If you have any questions regarding the Passenger Locator Form, the COVID-19 test and the quarantine obligation in Belgium, please contact the FPS Public Health on 0800 14 689 or send an e-mail to info.coronavirus@health.fgov.be(link is external).""    https://web.archive.org/web/20201010014221/https://diplomatie.belgium.be/en      ""On September 25, a ban on travel to countries or regions with high infection rates, or 'Red Zones', was replaced by strong discouragement not to travel to these areas. Arrivals from these areas must take a COVID-19 test on arrival and quarantine for seven days, before taking a second test. ""    https://web.archive.org/web/20201010014144/https://www.garda.com/crisis24/news-alerts/386701/belgium-authorities-to-tighten-covid-19-restrictions-from-october-9-update-24","belgium","ban arrivals from some regions"
"Benin","BEN",20200929,"C8: International travel controls",2,NA,"On 30 Sep the ministry of Health announced new measures for travelers, who will have to pay and give up personal info to be tested on arrival and allowed into the country  https://web.archive.org/web/20201009090856/https://www.gouv.bj/actualite/860/telechargez-guide-parcours-voyageurs-devant-effectuer-leur-test-covid-19-arrivee-depart-aeroport-cotonou--benin-/    Nevertheless, it seems that quarantine is still obligatory for all travelers","benin","quarantine arrivals from some/ all regions"
"Burkina Faso","BFA",20200922,"C8: International travel controls",2,NA," Upon arrival in Ouagadougou, travelers must present a negative COVID-19 PCR (nasal swab) test after disembarking.  The test result must be dated within five days of arrival and can be in English or French. Rapid diagnostic tests (RDTs) or antibody tests are currently not accepted.  If a passenger does not arrive with a negative COVID-19 test, a rapid COVID-19 test will be performed at the airport, at a cost of 90,000 CFA (approximately 155 US Dollars) and the passenger will be detained until results are available. See: https://bf.usembassy.gov/u-s-citizen-services/covid-19-information/ [web archive unavailable, accessed 1st October 2020, webpage last updated 25th September 2020]","burkina faso","quarantine arrivals from some/ all regions"
"Bangladesh","BGD",20200716,"C8: International travel controls",3,NA,"Commercial passenger flights from the UK, together with flights from Malaysia, Turkey, the UAE, Qatar and Sri Lanka are now permitted to land in Bangladesh. On arrival in Bangladesh, all foreign nationals are required to produce a medical certificate issued within 72 hours of travel indicating the passenger is COVID-19 negative. Passengers arriving from coronavirus affected countries, including the UK, are also required to self-quarantine for 14 days.     The temporary suspension of international passenger flights from: Bahrain, Bhutan, Hong Kong, India, Kuwait, the Maldives, Nepal, Oman, Saudi Arabia, Singapore and Thailand remains in force.","bangladesh","ban arrivals from some regions"
"Bulgaria","BGR",20200912,"C8: International travel controls",3,NA,"No change.","bulgaria","ban arrivals from some regions"
"Bahrain","BHR",20201008,"C8: International travel controls",3,NA,"Current (8/10/20) entry requirements explained by the Ministry of Interior are copied below.    ""In light of the World Health Organization’s (WHO) 11 March 2020 declaration that the novel coronavirus (SARS-CoV-2) is a global pandemic, the Government of the Kingdom of Bahrain announces the following revised measures with effect from 00:00 Bahrain time on 4 September 2020:  1. Entry is restricted to Bahraini citizens, residents, GCC citizens who do not need a visa, passengers eligible to obtain a visa on arrival, passengers with a valid eVisa, diplomats, military personnel, airline crew, or holders of official, service or UN passports.  2. Visas on arrival are reintroduced for citizens of nationalities that are eligible for it. To determine eligibility, please visit evisa.gov.bh. To obtain an eVisa prior to your departure, please visit evisa.gov.bh.  3. All passengers must undergo a PCR test (at their own expense) on arrival. Arrivals must remain in self isolation until the result of the PCR test is determined. Any passenger staying in Bahrain for ten (10) days or longer must repeat the PCR test on the 10th day following their arrival in the Kingdom.""  Source: http://archive.today/2020.10.08-133608/https://www.evisa.gov.bh/VISA/visaInput?nav=A0S&A0S=a","bahrain","ban arrivals from some regions"
"Bosnia and Herzegovina","BIH",20200922,"C8: International travel controls",1,NA," All travelers except BiH citizens and citizens of Croatia, Serbia, and Montenegro must present a certificate of a negative SARS-CoV-2 virus test not older than 48 hours.    https://web.archive.org/web/20200921174139/https://www.gov.uk/foreign-travel-advice/bosnia-and-herzegovina/entry-requirements  https://web.archive.org/web/20200829101240/https://ba.usembassy.gov/covid-19-information/  https://web.archive.org/save/https://blog.wego.com/covid19-travel-restrictions-by-destination-country/","bosnia and herzegovina","screening arrivals"
"Belarus","BLR",20200929,"C8: International travel controls",2,NA,"""Arrivals from certain countries affected by coronavirus must self-isolate for 14 days, regardless of whether they show symptoms.""  http://web.archive.org/web/20201008134947/https://www.gov.uk/foreign-travel-advice/belarus/entry-requirements","belarus","quarantine arrivals from some/ all regions"
"Belize","BLZ",20201001,"C8: International travel controls",2,NA," Airports and land borders opened on October 1, subject to restrictions. See: https://www.pressoffice.gov.bz/what-to-expect-when-the-airport-reopens/ [accessed 8th October 2020, web archive unavailable]","belize","quarantine arrivals from some/ all regions"
"Bermuda","BMU",20200929,"C8: International travel controls",1,NA,"""Commercial airlines may return to Bermuda, but there are specific testing requirements to replace the requirement to quarantine for 14 days."" https://web.archive.org/web/20201008011749/https://www.gov.bm/coronavirus-phase4-guidance","bermuda","screening arrivals"
"Bolivia","BOL",20200921,"C8: International travel controls",1,NA,"""Bolivia restarted international flights on September 1, though a countrywide curfew and strict quarantine remains in place until September 30. Only some categories of foreigners are currently allowed to enter, including those with dual citizenship, diplomatic status, or Bolivian spouses. A negative PCR test taken within 7 days of travel is required to enter the country. ""     http://web.archive.org/web/20201001094837/https://www.cntraveler.com/story/how-central-and-south-american-countries-are-reopening","bolivia","screening arrivals"
"Brazil","BRA",20200810,"C8: International travel controls",1,NA,"Still current, ""Per Brazil’s current travel decree, foreign travelers by air to Brazil, for a short stay of up to 90 days, must present to the airline company prior to boarding, proof of purchase of health insurance valid in Brazil with coverage for the entire period of the trip.  Failure to provide this could result in the denial of entry by Brazilian authorities.""     http://web.archive.org/web/20200823211038/https://www.aljazeera.com/news/2020/08/concerns-brazil-tourism-curb-covid-19-pandemic-200818162937811.html  http://web.archive.org/web/20200823211427/https://br.usembassy.gov/covid-19-information/","brazil","screening arrivals"
"Barbados","BRB",20200911,"C8: International travel controls",2,NA,"Countries of departure has been categorised by risk. Travellers arriving from high-risk countries will require a negative PCR test result, and quarantine upon arrival. Travellers arriving from lower risk countries will have less stringent requirements. See government website, archived: https://web.archive.org/web/20200920125329/https://www.visitbarbados.org/covid-19-travel-guidelines-2020 ","barbados","quarantine arrivals from some/ all regions"
"Brunei","BRN",20200915,"C8: International travel controls",2,NA,"Brunei authorities open borders to foreign travelers. Travelers entering must provide a negative test on arrival, obtained within 72 hours of travel. Those arriving into the country must quarantine in a government booked facility upon entry. Quarantine between 2-14 days.     Web Link: https://web.archive.org/web/20200926205100/https://www.gov.uk/foreign-travel-advice/brunei/entry-requirements","brunei","quarantine arrivals from some/ all regions"
"Bhutan","BTN",20201012,"C8: International travel controls",2,NA,"Getting into the country: 21 days quarantine for people coming into the country: https://web.archive.org/web/20201012214313/https://www.gov.bt/covid19/02-10-20-highlights-from-the-press-brief-moh/    Leaving country: Within 72hrs prior to leaving the country a health certificate needs to be requested: https://web.archive.org/web/20201012213958/https://www.gov.bt/covid19/07-10-20-rules-for-individuals-travelling-out-of-the-country-moh/","bhutan","quarantine arrivals from some/ all regions"
"Botswana","BWA",20201008,"C8: International travel controls",4,NA,"According to the US embassy website, visas are not currently issued upon entry and tourist entry is prohibited. There are no commercial flights in to or out of Botswana. http://web.archive.org/web/20201009015725/https://bw.usembassy.gov/covid-19-information/ ","botswana","ban on all regions/total border closure"
"Central African Rep.","CAF",20200925,"C8: International travel controls",2,NA,"Coding remains the same however, quarantine period was revised from 21days to 14days.  http://web.archive.org/web/20201006101820/https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-centrafricaine/ ","central african rep.","quarantine arrivals from some/ all regions"
"Canada","CAN",20200917,"C8: International travel controls",3,NA,"Still current, bans remain in place restricting travel to Canada.     http://web.archive.org/web/20200924132245/https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/travel-restrictions-exemptions.html","canada","ban arrivals from some regions"
"Switzerland","CHE",20200929,"C8: International travel controls",3,NA," the Switzerland has largely followed the EU Council recommendations regarding entry requirements of non-EU citizens. Third country nationals who do not have rights of free movement and do not hold a valid permit allowing them to live or work in Switzerland will be refused entry.  ","switzerland","ban arrivals from some regions"
"Chile","CHL",20200908,"C8: International travel controls",4,NA,"""Only Chilean citizens and residents of Chile are allowed entry into the country. American citizen in the U.S. seeking to travel to Chile for emergency reasons should contact the Chilean Embassy or the nearest Chilean consulate in the U.S.""     http://web.archive.org/save/https://cl.usembassy.gov/covid-19-information/","chile","ban on all regions/total border closure"
"China","CHN",20200923,"C8: International travel controls",3,NA,"On 23 September, the Ministry of Foreign Affairs announced some adjustments of the ban on foreigner entrance that was installed on 26 March. The new policy allows foreigners holding working visas, family visas or visiting visas (not tourist visas) to enter China without re-applying for new visas. However, the announcement also confirms other restrictions contained in the 26 March announcement stay unchanged.   http://web.archive.org/web/20201004230940/https://www.fmprc.gov.cn/web/wjbxw_673019/t1817369.shtml    http://web.archive.org/web/20201004231536/https://www.fmprc.gov.cn/web/wjbxw_673019/t1761858.shtml","china","ban arrivals from some regions"
"CÃ´te d'Ivoire","CIV",20200922,"C8: International travel controls",3,NA,"A ban on land maritime borders but limited commerical air tracel allowed. Negative PCR test within last 5 days is required and must provide contact details.   https://web.archive.org/save/https://ci.usembassy.gov/covid-19-information/","cã´te d'ivoire","ban arrivals from some regions"
"Cameroon","CMR",20200922,"C8: International travel controls",2,NA,"Cameroonian borders remain officially closed; however, several airlines have been given permission to operate international flights from Douala and Yaoundé. In fact, those that have visas are allowed to fly into Cameroon. Passengers only need to show evidence of a negative COVID-19 test.     The Cameroonian government has also updated the previous policy of mandatory quarantine for travelers. Air passengers with a positive COVID-19 test result will be required to enter isolation at home or in a government facility at their own expense depending on their symptoms.  See https://cm.usembassy.gov/covid-19-information/ [web archive unavailable, accessed 1st October 2020]","cameroon","quarantine arrivals from some/ all regions"
"Dem. Rep. Congo","COD",20200924,"C8: International travel controls",1,NA,"Travelers entering the DRC, regardless of the origin of their travel, are not required to quarantine so long as they show a negative COVID-19 test taken within 72 hours of departure from their point of origin.  The DRC Ministry of Health may monitor travelers upon arrival, request information, and order self-quarantine.  They may request travelers take an additional COVID-19 test after arrival.  http://web.archive.org/web/20200928161819/https://cd.usembassy.gov/covid-19-information/","dem. rep. congo","screening arrivals"
"Congo","COG",20200824,"C8: International travel controls",2,NA,"According to the US Embassy: 'As of August 24, 2020, the Republic of Congo reopened its international airports and international passenger flights have resumed.  Inbound passengers must present a negative COVID-19 test from within 72 hours of departure upon arrival.  Outbound passengers requiring testing can go to:   Brazzaville : Laboratoire National de Sante Publique or Fondation Congolaise de la Recherche Medicale.  Pointe-Noire: National Public Health Laboratory located at: Hôpital General de Loandili or Laboratoire de la foundation Gombes.  Congolese authorities implemented mandatory testing upon airport arrival and identified quarantine sites in Brazzaville and Pointe-Noire. In some cases, home quarantine will be permitted after Covid testing.'  https://web.archive.org/web/20200828122427/https://cg.usembassy.gov/covid-19-information/","congo","quarantine arrivals from some/ all regions"
"Colombia","COL",20200919,"C8: International travel controls",2,NA,"""From 19 September 2020, entry to Colombia from abroad is permitted. Entry for tourists is no longer restricted, but all arrivals are subject to mandatory entry requirements.    Mandatory entry requirements:    For air travel into Colombia, a negative PCR test result issued within 96 hours prior to your departure will be required by the Colombian authorities. You should not use the NHS testing service to get a test in order to facilitate your travel to another country. You should arrange to take a private test. If you cannot get a test or certification, contact your airline directly for advice  Travellers with a negative PCR test result will not be required to quarantine upon arrival in Colombia  As an exceptional measure, Colombia-bound travellers on humanitarian and commercial flights before 30 September without a negative PCR test result will be allowed to enter but will be required to take a test upon arrival and self-isolate for 14 days (or until they receive a negative test result). The self-isolation period will be monitored by local authorities""  http://web.archive.org/web/20200927083139/https://www.gov.uk/foreign-travel-advice/colombia/entry-requirements","colombia","quarantine arrivals from some/ all regions"
"Cape Verde","CPV",20200727,"C8: International travel controls",4,NA,"Cape Verde is beginning international flights for essential travel only on the 1st of August. however, at it does not have a policy for international travellers, This could still be regarded as border closure. Flights remain heavily restricted and travel for leisure is not an acceptable reason for air travel  https://web.archive.org/web/20200824221232/https://cv.usembassy.gov/health-alert-u-s-embassy-praia-cabo-verde-july-30-2020/","cape verde","ban on all regions/total border closure"
"Costa Rica","CRI",20200828,"C8: International travel controls",3,NA,"As of 14 September, Costa Rica is allowing commercial flights but only from some pre-authorized regions.    This is the list currently in effect:       THE EUROPEAN UNION, SCHENGEN ZONE, AND THE UNITED KINGDOM: for flights from the European Union, the Schengen Zone, and the United Kingdom; for citizens and residents of the European Union, the Schengen Zone, and the United Kingdom.  CANADA: for flights from Canada; for citizens and residents of Canada and for citizens and residents of the European Union, the Schengen Zone, and the United Kingdom in transit.  SOUTH AMERICA: for flights from Uruguay; for citizens and residents of Uruguay.  ASIA: for flights from Japan, South Korea, Thailand, Singapore, and the People’s Republic of China; for citizens and residents of Japan, South Korea, Thailand, Singapore, and the People’s Republic of China.  OCEANIA: for flights from Australia and New Zealand; for citizens and residents of Australia and New Zealand.  As of Sept. 1, 2020: UNITED STATES OF AMERICA (Residents of nine states): Connecticut, Maine, Maryland, New Hampshire, New Jersey, New York, Vermont, Virginia, and Washington, D.C.  As of Sept. 15, 2020: UNITED STATES OF AMERICA (Residents of ten states): Arizona, Colorado, Massachusetts, Michigan, New Mexico, Oregon, Pennsylvania, Rhode Island, Washington and Wyoming.  As of Oct. 1, 2020: UNITED STATES OF AMERICA (Residents of one state): California (if the epidemiological scenario permits it).    http://web.archive.org/web/20200914224521/https://www.visitcostarica.com/en/costa-rica/statement-costa-rica-tourism-board-covid-19","costa rica","ban arrivals from some regions"
"Cuba","CUB",20201001,"C8: International travel controls",4,NA,"""Havana's Jose Marti International Airport (HAV) continues to operate for humanitarian and repatriation flights for Cuban nationals and foreign nationals with valid permanent residency visas or permits. Those permitted to enter Cuba will be screened and tested on arrival and will be required to quarantine for 14 days at a government facility.""  https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","ban on all regions/total border closure"
"Cayman Islands","CYM",20200323,"C8: International travel controls",4,NA,"Airports and seaports closed to international traffic. Exceptions are made for the return of residents.    https://web.archive.org/web/20200804084431/https://www.exploregov.ky/government-covid19-policies","cayman islands","ban on all regions/total border closure"
"Cyprus","CYP",20201008,"C8: International travel controls",3,NA,"Cyprus removed Lithuania from its COVID-19 Safe Countries List on 8 October, and will remove Belgium, Slovakia and Georgia on 9 October. 'At present, only the following countries are included in Cyprus’ safe list, Latvia, Germany, Finland, New Zealand, Australia, Thailand and South Korea, meaning that citizens coming from any of these countries are not required to present a negative result of the Coronavirus test or to go through mandatory quarantine, as they are considered low-risk countries.'    https://archive.vn/LFMyl","cyprus","ban arrivals from some regions"
"Czech Republic","CZE",20201005,"C8: International travel controls",3,NA,"""If you are travelling to the Czech Republic following a stay of more than 12 hours within the past 14 days in a ‘high’ risk country, you will not be permitted entry. ""    http://web.archive.org/web/20201008123838/https://www.gov.uk/foreign-travel-advice/czech-republic/entry-requirements","czech republic","ban arrivals from some regions"
"Germany","DEU",20201001,"C8: International travel controls",2,NA,"End to measure stopping travel, going back to a system of country-specific guidelines, and quarantines coming back from certain countries. https://web.archive.org/web/20201005222445/https://www.auswaertiges-amt.de/de/ReiseUndSicherheit/covid-19/2296762 ","germany","quarantine arrivals from some/ all regions"
"Djibouti","DJI",20200822,"C8: International travel controls",1,NA,"""Travelers coming to Djibouti by air/sea/land must be screened for COVID-19 upon arrival at ports of entry and the test must be negative in order for an individual to enter the country.  Upon arrival at Ambouli International Airport, all passengers are tested for COVID-19 using a minimally invasive saliva test (...) Travelers coming to Djibouti must be equipped with protective masks at the time of departure or arrival at the points of entry, respect the physical distance of one meter, if possible, at all stages of the journey and carry a hydro-alcoholic gel throughout the trip. If a high percentage of passengers on a particular flight receive a positive saliva test, the Government of Djibouti may require all passengers to complete a second, nasal swab COVID-19 test.""    Source: http://web.archive.org/web/20200902090838/https://dj.usembassy.gov/covid-19-information/","djibouti","screening arrivals"
"Dominica","DMA",20200918,"C8: International travel controls",1,NA,"""Dominica’s borders are open  Arriving passengers must complete an online questionnaire 24 hours before arrival, and have a PCR swab test with a negative result taken up to 72 hours before arrival  On arrival a Rapid Diagnostic Test will be taken. If negative five days quarantine follows in an approved facility. If positive isolation in a government facility follows.  A PCR test is required to depart Dominica""     http://web.archive.org/web/20201001101555/https://www.gov.uk/foreign-travel-advice/dominica    ","dominica","screening arrivals"
"Denmark","DNK",20200924,"C8: International travel controls",3,NA,"Policy remains unchanged. Those living in a 'yellow' country may freely enter Denmark while those in 'orange' or 'red' may not. Which countries in the EU are labelled 'orange' versus 'yellow' changes from week to week depending on the level of covid. Countries outside the EU and the Schengen area as well as the United Kingdom are currently by definition 'banned' countries (orange).  http://web.archive.org/web/20200924160654/https://politi.dk/en/coronavirus-in-denmark/travel-in-or-out-of-denmark/is-my-country-open-or-banned","denmark","ban arrivals from some regions"
"Dominican Republic","DOM",20200915,"C8: International travel controls",2,NA,"Note: The Government of the Dominican Republic announced that starting September 15, COVID-19 rapid tests will be performed on randomly selected travelers upon arrival. Once this measure is in place the requirement for a negative COVID-19 test prior to arrival will be eliminated. See: https://do.usembassy.gov/u-s-citizen-services/covid-19-information/ [web archive unavailable, accessed 24th September 2020]","dominican republic","quarantine arrivals from some/ all regions"
"Algeria","DZA",20200818,"C8: International travel controls",4,NA,"No change. https://web.archive.org/web/20200826015744/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","ban on all regions/total border closure"
"Ecuador","ECU",20201005,"C8: International travel controls",1,NA,"As of October 5, Ecuador continues to allow both domestic and international commercial flights, however, flyers on international flights are still required evidence of a negative COVID-19 test upon arrival. Moreover, international travelers are still required to quarantine for 14 days upon arrival to the country.    Link:  https://web.archive.org/web/20201004141409/https://ec.usembassy.gov/covid-19-information-ecu-2/","ecuador","screening arrivals"
"Egypt","EGY",20200902,"C8: International travel controls",1,NA,"No change. https://web.archive.org/web/20200912072925/https://www.gov.uk/foreign-travel-advice/egypt","egypt","screening arrivals"
"Eritrea","ERI",20200929,"C8: International travel controls",4,NA,"All borders are officially closed, as is Asmara international airport. There is no indication of when the airport will re-open.  Source: http://web.archive.org/web/20201008160245/https://www.gov.uk/foreign-travel-advice/eritrea/entry-requirements","eritrea","ban on all regions/total border closure"
"Spain","ESP",20201009,"C8: International travel controls",3,NA,"By October 9, all non-essential travel to Spain is strongly discouraged.    Link:  https://web.archive.org/web/20201011210832/https://www.gov.uk/foreign-travel-advice/spain","spain","ban arrivals from some regions"
"Estonia","EST",20200914,"C8: International travel controls",3,NA,"Estonia re-establishes border controls and bans travel to Estonia for non-essential purposes, with the following exceptions:  - Citizens and residents of the European Union, the Schengen area, the United Kingdom of Great Britain and Northern Ireland, Andorra, Monaco, San Marino and Vatican, and individuals with a long-stay visa and their family members if they show no symptoms.   - Persons who are asymptomatic and who arrive from a country not listed in clauses 101 and 121 but published on the website of the Ministry of Foreign Affairs and who are said country’s residents pursuant to the laws of said country (currently Australia, Canada, Georgia, Japan, New Zealand, Rwanda, South Korea, Thailand, Tunisia and Uruguay)    Citizens from countries not listed above may enter Estonia only ""for the purpose of work or for the purpose of studies in an educational institution registered in Estonia."" Although this is a ""soft ban,"" it still will ban the majority of citizens from those countries and is hence coded as 3.     https://web.archive.org/web/20200927094118/https://www.riigiteataja.ee/en/eli/ee/VV/k/514092020001/consolide","estonia","ban arrivals from some regions"
"Ethiopia","ETH",20200911,"C8: International travel controls",2,NA,"http://web.archive.org/web/*/https://www.gov.uk/foreign-travel-advice/ethiopia/entry-requirements","ethiopia","quarantine arrivals from some/ all regions"
"Finland","FIN",20200929,"C8: International travel controls",3,NA,"""Finnish borders remain closed to non-resident foreign nationals entering the country, with some exemptions. Border controls have been lifted for travel between Finland and a number of different countries and there is currently no requirement to self-isolate when entering Finland from these countries (see the Finnish Border Guard website for the current list).""  http://web.archive.org/web/20201010153114/https://www.gov.uk/foreign-travel-advice/finland/entry-requirements","finland","ban arrivals from some regions"
"Fiji","FJI",20201008,"C8: International travel controls",3,NA,"""Fiji wants to open its borders to New Zealand as soon as possible, says Prime Minister Voreqe Bainimarama.""  ' “Given that Fiji is COVID-contained, given we have gone over 170 days without a new case of the virus, given the exemplary job we have done at managing our border, and given the economic urgency of resuming flows of two-way trade and tourism, we are keen to see those discussions advance past the exploratory phase and on to practical progress as soon as possible.” '  http://archive.today/2020.10.12-115640/https://www.fijitimes.com/pm-wants-nz-travel-soon/","fiji","ban arrivals from some regions"
"France","FRA",20200928,"C8: International travel controls",3,NA,"No changes in policy","france","ban arrivals from some regions"
"Gabon","GAB",20200915,"C8: International travel controls",3,NA,"No change. https://web.archive.org/web/20200923071806/https://www.gov.uk/foreign-travel-advice/gabon","gabon","ban arrivals from some regions"
"United Kingdom","GBR",20200925,"C8: International travel controls",2,NA,"Quarantine on arrival still in place for most countries. https://web.archive.org/web/20201004231526/https://www.gov.uk/guidance/coronavirus-covid-19-travel-corridors","united kingdom","quarantine arrivals from some/ all regions"
"Georgia","GEO",20201001,"C8: International travel controls",3,NA,"""Foreign citizens are not currently allowed to enter Georgia, apart from citizens or residents of five EU Member States (France, Germany, Estonia, Latvia and Lithuania) who arrive by direct flight. ""    http://web.archive.org/web/20201008133109/https://www.gov.uk/foreign-travel-advice/georgia/entry-requirements","georgia","ban arrivals from some regions"
