"","CountryName","intl_travel.CountryCode","intl_travel.Date","International.Travel","intl_travel.PolicyValue","intl_travel.Flag","intl_travel.Notes","intl_travel.region","intl_travel.value","dom_move.CountryCode","dom_move.Date","Domestic.Movement","dom_move.PolicyValue","dom_move.Flag","dom_move.Notes","dom_move.region","dom_move.value","stayhome.CountryCode","stayhome.Date","Stay.Home","stayhome.PolicyValue","stayhome.Flag","stayhome.Notes","stayhome.region","stayhome.value","gathering.CountryCode","gathering.Date","Gathering.Restrictions","gathering.PolicyValue","gathering.Flag","gathering.Notes","gathering.region","gathering.value","public_transport.CountryCode","public_transport.Date","Public.Transport","public_transport.PolicyValue","public_transport.Flag","public_transport.Notes","public_transport.region","public_transport.value"
"41","Croatia","HRV",20200907,"C8: International travel controls",1,NA,"A negative COVID-19 test (PCR and/or serology) is required no older than 48 hours. Those who do not provide a negative PCR test upon arrival?will be ordered to quarantine/self-isolate for at least 7 days prior to taking a local PCR test. Travelers who fail to present a PCR test upon arrival and refuse to take a test locally will be ordered to self-isolate or quarantine for 14 days.    https://web.archive.org/web/20200917135907/https://hr.usembassy.gov/covid-19-information-2/","croatia","screening arrivals","HRV",20200907,"C7: Restrictions on internal movement",0,NA,"No restrictions on intercity and interstate travel.    https://web.archive.org/web/20200917135907/https://hr.usembassy.gov/covid-19-information-2/","croatia","no measures","HRV",20200907,"C6: Stay at home requirements",0,NA,"Normal activity has resumed as long as precautions and protocols are followed.    https://web.archive.org/web/20200901041257/https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Croatia.pdf","croatia","no measures","HRV",20200907,"C4: Restrictions on gatherings",2,"National","Restrictions on gatherings of people, initially removed, were  reinstated on 10 July, as organisers must now register gatherings of more than 100 people in  advance and provide the authorities with information on the participants in case any are infected.    https://web.archive.org/web/20200901041257/https://www.oecd.org/south-east-europe/COVID-19-Crisis-in-Croatia.pdf  ","croatia","restrictions on gatherings between 101-1000 people","HRV",20200907,"C5: Close public transport",0,NA,"Public transport is open - US Embassy in Croatia as of 14th Sept 2020    https://web.archive.org/web/20200917135907/https://hr.usembassy.gov/covid-19-information-2/  ","croatia","no measures"
"42","Cuba","CUB",20201012,"C8: International travel controls",1,NA,"""The easing of restrictions will apply to the majority of the country excluding Havana, Ciego de Avila, and Sancti Spiritus province. Under the easing of COVID-19 restrictions, international commercial passenger flights will be permitted to resume operations in 13 of the 16 territories, however, international travel will continue to be severely disrupted as Havana is the main international airport to Cuba.    Those traveling into any of the 13 territories open will be required to take a COVID-19 PCR test upon arrival and must declare their health status; travelers may await their test results at their hotels or homes. Additionally, face masks are mandatory in all public areas. Recreation and entertainment facilities will be subject to additional health protocols.""      https://web.archive.org/web/20201013215820/https://www.garda.com/crisis24/news-alerts/388376/cuba-authorities-ease-some-covid-19-measures-from-october-12-update-16","cuba","screening arrivals","CUB",20201010,"C7: Restrictions on internal movement",2,"National","Restrictions on interprovincial travel are still in place. however, authorities are now transporting stranded cubans back to their provinces.    https://web.archive.org/web/20201014004825/https://www.cibercuba.com/noticias/2020-10-09-u1-e43231-s27061-comienzan-regresar-sus-provincias-cubanos-quedaron-varados    ""This Friday, the Cubans who were stranded in Havana due to the coronavirus pandemic must begin to return by train to their respective provinces.    As explained to the official newspaper Granma José Conesa González, coordinator of industry and transport of the Government in the city, the transfers are organized from the municipal defense councils, with the participation of the offices of attention to the population.    Those interested in traveling will have to make the request there and submit their information for their location. Later they will be contacted and they will be informed which day they should take the PCR test, as well as the date of their trip and the place of departure. The collection of the ticket will be made in the municipal transport departments.""","cuba","restrictions in place","CUB",20201005,"C6: Stay at home requirements",0,NA,"No policy change. Policy remains same as above    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","no measures","CUB",20201005,"C4: Restrictions on gatherings",4,"National","No policy change. Policy remains same as above    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","restrictions on gatherings of <= 10 people","CUB",20201005,"C5: Close public transport",1,"Regional","No policy change. Policy remains same as above    https://web.archive.org/web/20201004195425/https://www.garda.com/crisis24/news-alerts/385211/cuba-authorities-lift-restrictions-in-havana-september-30-update-15","cuba","recommend closing/ significantly reduce volume"
"43","Cyprus","CYP",20201008,"C8: International travel controls",3,NA,"Cyprus removed Lithuania from its COVID-19 Safe Countries List on 8 October, and will remove Belgium, Slovakia and Georgia on 9 October. 'At present, only the following countries are included in Cyprus’ safe list, Latvia, Germany, Finland, New Zealand, Australia, Thailand and South Korea, meaning that citizens coming from any of these countries are not required to present a negative result of the Coronavirus test or to go through mandatory quarantine, as they are considered low-risk countries.'    https://archive.vn/LFMyl","cyprus","ban arrivals from some regions","CYP",20200909,"C7: Restrictions on internal movement",0,NA,"No change in policy. There are no curfews or movement restrictions in the Republic of Cyprus.  There are no curfews in the Turkish Republic of Northern Cyprus.    http://web.archive.org/web/20200910192821/https://cy.usembassy.gov/covid-19-information/","cyprus","no measures","CYP",20200521,"C6: Stay at home requirements",1,"National","Government decree of 20 May 2020 announced the second phase of reopening of Cyprus as of 21 May 2020 including the abolition of the ban on free movement between 10 p.m. – 6 a.m. Gatherings now permitted up to 10 persons, including free movements in parks, picnic sights, going to the hairdresser, group exercises, outside cafes and restaurants, etc.    http://web.archive.org/web/20200531200931/https://www.pio.gov.cy/coronavirus/en/pdf/measuresx.pdf","cyprus","recommend not leaving house","CYP",20201007,"C4: Restrictions on gatherings",3,"National","The Ministry of Health of Cyprus announces on 7 October that the validity of the  measures imposed in Larnaca District from 23 September 2020 is renewed until midnight, October 14.  As to gatherings,   'Individuals are permitted to attend gatherings in houses and public meeting areas, with the exception of catering places, not exceeding a  maximum number of 10 persons per house/group, including under age children.    Mass attendance and other forms of religious worship in churches, mosques and other religious places, as well as religious ceremonies, shall be performed with a maximum number of 75 persons, subject to the protocols in force for places of religious worship.    Cocktail parties and well-wishing at weddings and christenings is prohibited. Physical presence is only allowed at lunch or dinner, with a maximum number of 350 attending persons'    https://archive.vn/Mawmw","cyprus","restrictions on gatherings between 11-100 people","CYP",20200609,"C5: Close public transport",1,"National","Following a decision by the Ministry of Transport, Communications and Works, as of 9 June, public transport (Cyprus only has buses and taxis) can ride with 100% fully capacity inside the buses. Since March the buses were only allowed to carry maximum 30% capacity (increased to 50% in May). The wearing of masks is obligatory.    http://web.archive.org/web/20200709114147/https://www.intercity-buses.com/?wp=news-details&id=1C88B7DCABFD13B13AE1D1FBDA910967&id=1C88B7DCABFD13B13AE1D1FBDA910967","cyprus","recommend closing/ significantly reduce volume"
"44","Czech Republic","CZE",20201005,"C8: International travel controls",3,NA,"""If you are travelling to the Czech Republic following a stay of more than 12 hours within the past 14 days in a ‘high’ risk country, you will not be permitted entry. ""    http://web.archive.org/web/20201008123838/https://www.gov.uk/foreign-travel-advice/czech-republic/entry-requirements","czech republic","ban arrivals from some regions","CZE",20201005,"C7: Restrictions on internal movement",1,"Regional","No change in policy found.","czech republic","recommend not to travel between regions","CZE",20200908,"C6: Stay at home requirements",0,NA,"No change.","czech republic","no measures","CZE",20201005,"C4: Restrictions on gatherings",4,"National","""mass events indoors up to 10 participants  mass outdoor events for up to 20 participants""    http://web.archive.org/web/20201008121940/https://koronavirus.mzcr.cz/aktualni-opatreni/","czech republic","restrictions on gatherings of <= 10 people","CZE",20201005,"C5: Close public transport",0,NA,"No change in policy.","czech republic","no measures"
"45","Dem. Rep. Congo","COD",20200924,"C8: International travel controls",1,NA,"Travelers entering the DRC, regardless of the origin of their travel, are not required to quarantine so long as they show a negative COVID-19 test taken within 72 hours of departure from their point of origin.  The DRC Ministry of Health may monitor travelers upon arrival, request information, and order self-quarantine.  They may request travelers take an additional COVID-19 test after arrival.  http://web.archive.org/web/20200928161819/https://cd.usembassy.gov/covid-19-information/","dem. rep. congo","screening arrivals","COD",20200924,"C7: Restrictions on internal movement",2,"Regional","No change in policy. Domestic travelers are also required to present a negative COVID-19 test for interprovincial travel.  http://web.archive.org/web/20200928161819/https://cd.usembassy.gov/covid-19-information/","dem. rep. congo","restrictions in place","COD",20200924,"C6: Stay at home requirements",1,"National","No change in policy. Last government directive dates from 21 July 2020 informing of the opening up of DRC between 22 July and 15 August 2020.   http://web.archive.org/web/20200928161954/https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","recommend not leaving house","COD",20200924,"C4: Restrictions on gatherings",0,NA,"No change in policy. Last government directive dates from 21 July 2020 informing of the opening up of DRC between 22 July and 15 August 2020.   http://web.archive.org/web/20200928161954/https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","no restrictions","COD",20200924,"C5: Close public transport",1,"Regional","No change in policy. Last government directive dates from 21 July 2020 informing of the opening up of DRC between 22 July and 15 August 2020.   http://web.archive.org/web/20200928161954/https://www.stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","recommend closing/ significantly reduce volume"
"46","Denmark","DNK",20200924,"C8: International travel controls",3,NA,"Policy remains unchanged. Those living in a 'yellow' country may freely enter Denmark while those in 'orange' or 'red' may not. Which countries in the EU are labelled 'orange' versus 'yellow' changes from week to week depending on the level of covid. Countries outside the EU and the Schengen area as well as the United Kingdom are currently by definition 'banned' countries (orange).  http://web.archive.org/web/20200924160654/https://politi.dk/en/coronavirus-in-denmark/travel-in-or-out-of-denmark/is-my-country-open-or-banned","denmark","ban arrivals from some regions","DNK",20200924,"C7: Restrictions on internal movement",0,NA,"Movement continues freely within Denmark. Face masks are required on public transport and in taxis across Denmark and the public is asked to avoid travel at peak times.  All public transport in Denmark is undergoing a more stringent cleaning protocol.  http://web.archive.org/web/20200928150225/https://www.visitdenmark.com/denmark/travel-essentials/safe-travel-denmark","denmark","no measures","DNK",20200919,"C6: Stay at home requirements",1,"National","In the context of rising numbers of Covid-19 in Denmark, the government announced increased restrictions nationally. Public and private employers are encouraged to make sure that employees work from home to the extent possible and appropriate given the nature of the job.  These measures will apply in Denmark until at least 4 October 2020.    http://web.archive.org/web/20200921180900/https://politi.dk/en/-/media/mediefiler/corona/engelsk/outbreak-control-measures.pdf?la=en&hash=E082FB214E3BC7E3F56FD65411BFF68296CC2F23","denmark","recommend not leaving house","DNK",20200919,"C4: Restrictions on gatherings",3,"National","In the context of rising numbers of Covid-19 in Denmark, the government announced increased restrictions nationally. The maximum number of people who can gather is reduced from 100 people to 50 people (for all of Denmark) as of 19 September 2020. This is regardless whether it is an outdoor or indoor event. Note that it will still be possible to host and attend  events etc. with up to 500 participants if the participants are mainly seated. However, the exception of allowing more than 500 people to attend Super League football matches or indoor or outdoor sports events will no longer apply (the maximum is now set at 500). There is also now a requirement to display signs stating the maximum number of customers, visitors or participants allowed at premises. Owners of restaurants, bars, cafes and similar establishments are encouraged to introduce voluntary registration of the contact data of guests and to hand over the data to the health authorities for the purpose of tracing outbreaks. It is no longer allowed to consume alcohol on coaches and buses operated under the Danish Coach and Bus. Weddings, confirmations and similar special occasion days that have already been scheduled can be held if it is possible to follow the advice of the Danish Health Authority set out in ‘Private events, parties and celebrations during the period of COVID-19’, but the event ought to end at 10.00 pm at the latest. Citizens are recommended to hold other events, parties and celebrations at private homes only for close family members and friends.  These measures will apply in Denmark until at least 4 October 2020.    http://web.archive.org/web/20200921180900/https://politi.dk/en/-/media/mediefiler/corona/engelsk/outbreak-control-measures.pdf?la=en&hash=E082FB214E3BC7E3F56FD65411BFF68296CC2F23","denmark","restrictions on gatherings between 11-100 people","DNK",20200919,"C5: Close public transport",1,"National","In the context of rising numbers of Covid-19 in Denmark, the government announced increased restrictions nationally. Citizens are encouraged to travel outside rush hours and to walk or take the bike when travelling short distances.  These measures will apply in Denmark until at least 4 October 2020.    http://web.archive.org/web/20200921180900/https://politi.dk/en/-/media/mediefiler/corona/engelsk/outbreak-control-measures.pdf?la=en&hash=E082FB214E3BC7E3F56FD65411BFF68296CC2F23","denmark","recommend closing/ significantly reduce volume"
"47","Djibouti","DJI",20200822,"C8: International travel controls",1,NA,"""Travelers coming to Djibouti by air/sea/land must be screened for COVID-19 upon arrival at ports of entry and the test must be negative in order for an individual to enter the country.  Upon arrival at Ambouli International Airport, all passengers are tested for COVID-19 using a minimally invasive saliva test (...) Travelers coming to Djibouti must be equipped with protective masks at the time of departure or arrival at the points of entry, respect the physical distance of one meter, if possible, at all stages of the journey and carry a hydro-alcoholic gel throughout the trip. If a high percentage of passengers on a particular flight receive a positive saliva test, the Government of Djibouti may require all passengers to complete a second, nasal swab COVID-19 test.""    Source: http://web.archive.org/web/20200902090838/https://dj.usembassy.gov/covid-19-information/","djibouti","screening arrivals","DJI",20200822,"C7: Restrictions on internal movement",0,NA,"There are no restrictions on intercity or interstate travel    Source: http://web.archive.org/web/20200902090838/https://dj.usembassy.gov/covid-19-information/","djibouti","no measures","DJI",20200822,"C6: Stay at home requirements",0,NA,"No curfew is currently in place.    Source: http://web.archive.org/web/20200902090838/https://dj.usembassy.gov/covid-19-information/","djibouti","no measures","DJI",20200809,"C4: Restrictions on gatherings",4,"National","No policy change found. Since 10 May, a presidential decree has banned gatherings of more than 10 people. Therefore this policy should be coded as 4G (Gatherings of 10 people or less are permitted countrywide).    Source:   UN Djibouti, ""COVID-19 Situation Report #7 - 10 MAY""  https://web.archive.org/web/20200522101134/https://reliefweb.int/sites/reliefweb.int/files/resources/Djibouti%20COVID19%20Sitrep%207.pdf","djibouti","restrictions on gatherings of <= 10 people","DJI",20200517,"C5: Close public transport",0,NA,"As of 17 May, urban public transport vehicles (buses, minibuses, tricycles and taxis) will be authorized to resume their activity  https://web.archive.org/web/20200604203136/https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-7-10-may-2020","djibouti","no measures"
"48","Dominica","DMA",20200918,"C8: International travel controls",1,NA,"""Dominica’s borders are open  Arriving passengers must complete an online questionnaire 24 hours before arrival, and have a PCR swab test with a negative result taken up to 72 hours before arrival  On arrival a Rapid Diagnostic Test will be taken. If negative five days quarantine follows in an approved facility. If positive isolation in a government facility follows.  A PCR test is required to depart Dominica""     http://web.archive.org/web/20201001101555/https://www.gov.uk/foreign-travel-advice/dominica    ","dominica","screening arrivals","DMA",20200627,"C7: Restrictions on internal movement",0,NA,"Since businesses, shops, offices, churches, sports facilities and beauty salons are now operating normally without restriction, it could be implied that there are no longer restrictions in place. See: https://web.archive.org/web/20200706194429/https://www.gov.uk/foreign-travel-advice/dominica/coronavirus","dominica","no measures","DMA",20200804,"C6: Stay at home requirements",0,NA,"According to the UK embassy website, Businesses, shops, offices, churches, sports facilities and beauty salons are now operating normally without restriction, except for health protocols. Beaches and rivers can be freely accessed and sporting activities allowed.  http://web.archive.org/web/20200812234938/https://www.gov.uk/foreign-travel-advice/dominica/coronavirus  ","dominica","no measures","DMA",20200918,"C4: Restrictions on gatherings",2,"National","Maximum 250 people     http://web.archive.org/web/20201001101555/https://www.gov.uk/foreign-travel-advice/dominica","dominica","restrictions on gatherings between 101-1000 people","DMA",20200918,"C5: Close public transport",0,NA,"""You will be required to wear a face mask at all times on public transport in Dominica""     http://web.archive.org/web/20201001101555/https://www.gov.uk/foreign-travel-advice/dominica","dominica","no measures"
"49","Dominican Republic","DOM",20200915,"C8: International travel controls",2,NA,"Note: The Government of the Dominican Republic announced that starting September 15, COVID-19 rapid tests will be performed on randomly selected travelers upon arrival. Once this measure is in place the requirement for a negative COVID-19 test prior to arrival will be eliminated. See: https://do.usembassy.gov/u-s-citizen-services/covid-19-information/ [web archive unavailable, accessed 24th September 2020]","dominican republic","quarantine arrivals from some/ all regions","DOM",20200912,"C7: Restrictions on internal movement",2,"Regional","There is a curfew in Santo Domingo, and some of the other larger cities and provinces, from Monday through Friday from 7pm to 5am and on Saturdays and Sundays from 5pm to 5am.  In some provinces the curfew is from 8pm to 5am every day.  Full details can be found on https://presidencia.gob.do/ [web archive unavailable, accessed 24th September 2020]","dominican republic","restrictions in place","DOM",20200912,"C6: Stay at home requirements",2,"National","Note: The Dominican authorities particularly encourage those over 60 years old or with underlying health conditions to stay at home except for essential trips. See:  https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus [web archive unavailable, accessed 24th September 2020]","dominican republic","require not leaving house except for essentials","DOM",20200612,"C4: Restrictions on gatherings",3,"National","The current state of emergency will end on June 30 and the government has decided not to extend it. Until then, no changes have been introduced with only one exception related to the night curfew (coded in C6).    Source: https://web.archive.org/web/20200629203706/https://www.infobae.com/america/agencias/2020/06/28/republica-dominicana-levanta-toque-de-queda-nocturno-por-covid-19/","dominican republic","restrictions on gatherings between 11-100 people","DOM",20200912,"C5: Close public transport",1,"National","The Dominican authorities particularly encourage those over 60 years old or with underlying health conditions to stay at home except for essential trips. See: https://www.gov.uk/foreign-travel-advice/dominican-republic/coronavirus [web archive unavailable, accessed 24th September 2020]","dominican republic","recommend closing/ significantly reduce volume"
"50","Ecuador","ECU",20201005,"C8: International travel controls",1,NA,"Upon arrival, passengers will be required to sign a declaration form with their itinerary and local contact details. They must also present a negative Polymerase Chain Reaction (PCR) test for COVID-19, taken up to 10 days prior their arrival to the country. In countries where the PCR tests are not available, passengers must agree to take a COVID-19 test at the airport in Ecuador on arrival.    All passengers who arrive with a negative PCR test result will no longer be required to carry out self-isolation (Aislamiento Preventivo Obligatorio – APO). For those who do not present a negative PCR test result on arrival, they will need to carry out self-isolation for 10 days at their own expense, in hotels or private accommodation.    Link: https://web.archive.org/web/20201014091740/https://www.gov.uk/foreign-travel-advice/ecuador/entry-requirements","ecuador","screening arrivals","ECU",20200914,"C7: Restrictions on internal movement",0,NA,"On Monday, September 14, authorities lifted the national state of emergency initially declared in March in response to the coronavirus disease (COVID-19) pandemic. Each municipal government will be responsible in determining measures such as maximum capacities for public transport and institutions, operational capacity of private businesses, the circulation of private vehicles against license plate numbers, health prevention protocols for businesses and industries, amongst others.    Individuals are permitted to move freely within the country.    https://web.archive.org/web/20200918194527/https://www.garda.com/crisis24/news-alerts/379341/ecuador-authorities-lift-state-of-emergency-and-additional-restrictions-september-14-update-16    **code change 0 (Previously 1G) as the lifting of the national state of emergency ended restrictions on internal movement around the country including curfews.","ecuador","no measures","ECU",20200914,"C6: Stay at home requirements",0,NA,"On Monday, September 14, authorities lifted the national state of emergency initially declared in March in response to the coronavirus disease (COVID-19) pandemic. Lockdown restrictions, including a nightly curfew, in place to curb the spread of COVID-19, were also lifted. The prohibition of private meetings will no longer be in force.     The COE recalled that neither national nor local authorities may restrict free movement and association.    Individuals will continue to be required to wear face masks in public areas, and to comply with social distancing measures (maintain a 2m (6ft) distance) and practise frequent hand washing.    Link: https://web.archive.org/web/20200918194527/https://www.garda.com/crisis24/news-alerts/379341/ecuador-authorities-lift-state-of-emergency-and-additional-restrictions-september-14-update-16  https://web.archive.org/web/20200918201053/https://www.elcomercio.com/actualidad/coe-normas-municipios-excepcion.html","ecuador","no measures","ECU",20201005,"C4: Restrictions on gatherings",3,"Regional","Ecuador's Ministry of Public Health reminds viewers that groups in closed areas should not exceed 10, and that face masks should be worn properly -- aka covering the mouth and nose completely.     Link:   https://web.archive.org/web/20201005210547/https://twitter.com/Salud_Ec/status/1313090652549324800","ecuador","restrictions on gatherings between 11-100 people","ECU",20200926,"C5: Close public transport",0,NA,"The Secretary of Quito's Department of Health reminds riders to practice social distancing and to minimize conversations while on public transit to reduce risk of COVID-19 transmission.     Link:  https://web.archive.org/web/20200916181137/https://twitter.com/saludquito/status/1306294643366268931","ecuador","no measures"
"51","Egypt","EGY",20200902,"C8: International travel controls",1,NA,"No change. https://web.archive.org/web/20200912072925/https://www.gov.uk/foreign-travel-advice/egypt","egypt","screening arrivals","EGY",20200902,"C7: Restrictions on internal movement",2,"National","No change. https://web.archive.org/web/20200912072801/https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/","egypt","restrictions in place","EGY",20200611,"C6: Stay at home requirements",1,"National","Authorities have slightly reduced the imposed nighttime curfew by one hour between 20:00 and 04:00 (local time) with immediate effect as of Thursday, June 11.    https://web.archive.org/web/20200626020754/https://www.garda.com/crisis24/news-alerts/350596/egypt-authorities-record-highest-daily-increase-of-covid-19-cases-to-date-june-14-update-28","egypt","recommend not leaving house","EGY",20200722,"C4: Restrictions on gatherings",1,"National","Egyptian Prime Minister Mostafa Madbouli announced on 22 July that Eid Al Adha prayers will follow the same regulations taken when holding Eid El Iftar prayers back in May.  Also, official conferences and meetings will be permitted as long as the participants' number does not exceed 50 individuals in halls that can take not less than 100. This measure will come into effect on 26 July.    http://web.archive.org/web/20200723100808/https://www.egypttoday.com/Article/1/90006/Egypt%E2%80%99s-government-issues-new-decisions-to-%E2%80%9Ccoexist%E2%80%9D-with-COVID-19","egypt","restrictions on gatherings > 1000 people","EGY",20200902,"C5: Close public transport",1,"National","No change. There are currently restrictions on public transportation operating from midnight until 4am. https://web.archive.org/web/20200912072844/https://www.gov.uk/foreign-travel-advice/egypt/coronavirus","egypt","recommend closing/ significantly reduce volume"
"52","El Salvador","SLV",20200919,"C8: International travel controls",1,NA,"19th September 2020 onward, El Salvador's airports resumed commercial flights after six months of travel restrictions due to the coronavirus pandemic. Incoming passengers have been required to show a negative PCR coronavirus test no more than three days old.    https://web.archive.org/web/20200929041902/https://www.republicworld.com/world-news/rest-of-the-world-news/el-salvador-ready-to-reopen-its-airport-after-lockdown.html    ","el salvador","screening arrivals","SLV",20200930,"C7: Restrictions on internal movement",1,"Regional","Possible movement restrictions of indeterminate duration in and out of municipalities with high positivity rates might be in place. Outside these municipalities there are no restrictions. ""The Salvadoran Ministry of Health can place municipalities under special quarantine with little or no prior notice when a high number of COVID-19 cases is detected.""    Source: http://web.archive.org/web/20201010100434/https://sv.usembassy.gov/covid-19-information/    ","el salvador","recommend not to travel between regions","SLV",20200721,"C6: Stay at home requirements",2,"National","Although a 24/7 curfew has ended, the El Salvadorian Government has stressed that citizens should leave home only when strictly necessary (Over 65s, pregnant women and those with underlying health conditions should not leave under any circumstances). As part of Phase 1 of reopening, exceptions are in place for essential workers and in emergency circumstances.  https://web.archive.org/web/20200811180627/https://covid19.gob.sv/disposiciones-del-gobierno/  https://web.archive.org/web/20200811180150/https://covid19.gob.sv/reapertura/ce/el-salvador","el salvador","require not leaving house except for essentials","SLV",20200930,"C4: Restrictions on gatherings",3,"National",""" Large gatherings are discouraged.""    Source: http://web.archive.org/web/20201010100541/https://www.gov.uk/foreign-travel-advice/el-salvador/coronavirus","el salvador","restrictions on gatherings between 11-100 people","SLV",20200930,"C5: Close public transport",0,NA,"Public transportation is operating and available to the public. Taxis and other private transportation companies are also operating normally. The Government of El-Salvador recommends wearing a mask at all times.    Source: http://web.archive.org/web/20201010100434/https://sv.usembassy.gov/covid-19-information/","el salvador","no measures"
"53","Eritrea","ERI",20200929,"C8: International travel controls",4,NA,"All borders are officially closed, as is Asmara international airport. There is no indication of when the airport will re-open.  Source: http://web.archive.org/web/20201008160245/https://www.gov.uk/foreign-travel-advice/eritrea/entry-requirements","eritrea","ban on all regions/total border closure","ERI",20200929,"C7: Restrictions on internal movement",2,"National","Are there restrictions on intercity or interstate travel? Yes.  Motorized transportation (both public and private) requires government approval. People are free to travel by foot or by bicycle.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","restrictions in place","ERI",20200929,"C6: Stay at home requirements",2,"National","No new update.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","require not leaving house except for essentials","ERI",20200929,"C4: Restrictions on gatherings",3,"National","Limitation on Size of Gatherings  All gatherings of over 10 people are prohibited without a government permit.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","restrictions on gatherings between 11-100 people","ERI",20200929,"C5: Close public transport",2,"National","Public Transportation  Public Transportation has stopped services until further notice and most private cars are banned from the road. Urgent travel by car requires a permit.  Source: http://web.archive.org/web/20200930182811/https://er.usembassy.gov/covid-19-information/","eritrea","require closing"
"54","Estonia","EST",20200914,"C8: International travel controls",3,NA,"Estonia re-establishes border controls and bans travel to Estonia for non-essential purposes, with the following exceptions:  - Citizens and residents of the European Union, the Schengen area, the United Kingdom of Great Britain and Northern Ireland, Andorra, Monaco, San Marino and Vatican, and individuals with a long-stay visa and their family members if they show no symptoms.   - Persons who are asymptomatic and who arrive from a country not listed in clauses 101 and 121 but published on the website of the Ministry of Foreign Affairs and who are said country’s residents pursuant to the laws of said country (currently Australia, Canada, Georgia, Japan, New Zealand, Rwanda, South Korea, Thailand, Tunisia and Uruguay)    Citizens from countries not listed above may enter Estonia only ""for the purpose of work or for the purpose of studies in an educational institution registered in Estonia."" Although this is a ""soft ban,"" it still will ban the majority of citizens from those countries and is hence coded as 3.     https://web.archive.org/web/20200927094118/https://www.riigiteataja.ee/en/eli/ee/VV/k/514092020001/consolide","estonia","ban arrivals from some regions","EST",20200818,"C7: Restrictions on internal movement",0,NA,"No new update. Source: http://web.archive.org/web/20200826180648/https://www.visitestonia.com/en/why-estonia/coronavirus-and-travelling-to-estonia","estonia","no measures","EST",20200818,"C6: Stay at home requirements",0,NA,"No new update. Source: http://web.archive.org/web/20200826180648/https://www.visitestonia.com/en/why-estonia/coronavirus-and-travelling-to-estonia","estonia","no measures","EST",20200928,"C4: Restrictions on gatherings",1,"National","no changes reported.","estonia","restrictions on gatherings > 1000 people","EST",20200928,"C5: Close public transport",0,NA,"public transport remains open.   https://ee.usembassy.gov/covid-19-information/","estonia","no measures"
"55","Eswatini","SWZ",20201002,"C8: International travel controls",2,NA,"Minister of Health Lizzie Nkosi has announced health protocols that will govern travelling into & out of Eswatini.   All travelers entering the Kingdom of Eswatini will be screened at the Points of Entry (POE) for the following:  a. COVID-19 negative certificate/Results taken within 72hrs before  entry into the country.  b. Symptoms of COVID-19  c. Country of origin and transit.  ii. Travelers who do not present a valid negative COVID-19 result or is presenting with COVID-19 symptoms or both, will be required to do the COVID-19 test at the Point of Entry at their cost.  iii. Travelers may be required to undergo a quarantine not exceeding 14 days or isolation as advised by the port health officers.     As indicated by SitReps #199 and #201 (new phrasing: ""New travel guidelines have been finalized in line with the easing of international travel.""), these new regulations came into force Oct 2nd. First announcement was made September 30th.   Announcement: https://www.facebook.com/EswatiniGov/posts/205254017634772 (Waybackmachine unavailable)  Regulations: https://web.archive.org/web/20201008135532/http://www.gov.sz/images/CORONA/health30.pdf?fbclid=IwAR38TJdhIzdCn1ovrVpCc1W4oJqehfuUYzYwOmmVZZVcpHS5jAYePwWKwM8  https://web.archive.org/web/20201008140618/http://www.gov.sz/images/CORONA/ESWATINI_COVID-19-SITREP_02.10.2020-1.pdf  https://web.archive.org/web/20201008140609/http://www.gov.sz/images/CORONA/ESWATINI_COVID-19-SITREP_04.10.2020.pdf","eswatini","quarantine arrivals from some/ all regions","SWZ",20201001,"C7: Restrictions on internal movement",1,"National","There are roadblocks between cities where temperatures are checked. If a vehicle is carrying more than 50 percent of its allowed capacity passengers may be asked to disembark. Other than that, previous recommendation still in place. https://web.archive.org/web/20201008123737/https://sz.usembassy.gov/covid-19-information/","eswatini","recommend not to travel between regions","SWZ",20200910,"C6: Stay at home requirements",1,"National","No policy change","eswatini","recommend not leaving house","SWZ",20200922,"C4: Restrictions on gatherings",2,"National","No policy change found.","eswatini","restrictions on gatherings between 101-1000 people","SWZ",20201001,"C5: Close public transport",1,"National","Passengers are required to wear masks and use hand sanitizer upon entry into the vehicle. Vehicles cannot exceed 50 percent of capacity. https://web.archive.org/web/20201008123737/https://sz.usembassy.gov/covid-19-information/","eswatini","recommend closing/ significantly reduce volume"
