"CountryName","public_transport-CountryCode","public_transport-Date","Public Transport","public_transport-PolicyValue","public_transport-Flag","public_transport-Notes","public_transport-region","public_transport-value"
"Bulgaria","BGR",20201130,"C5: Close public transport",0,NA,"No policy change    As of 7 December, public transport remains open.    According to order RD-01-675, all persons on public transport (including railways, bus stations, airports, metro stations) must have a protective face mask or other means of covering the nose and mouth (including a towel, scarf, helmet, etc.)     https://web.archive.org/web/20201207051648/https://coronavirus.bg/bg/merki/ogranichitelni-merki","bulgaria","no measures"
"Bahrain","BHR",20201124,"C5: Close public transport",0,NA,"no change. public transports are open  https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","no measures"
"Bosnia and Herzegovina","BIH",20201127,"C5: Close public transport",0,NA,"No policy change.","bosnia and herzegovina","no measures"
"Belarus","BLR",20201128,"C5: Close public transport",0,NA,"No change to policy.  https://web.archive.org/web/20201128122842/https://www.gov.uk/foreign-travel-advice/belarus/coronavirus","belarus","no measures"
"Belize","BLZ",20201128,"C5: Close public transport",1,"National","The Department of Transport advises ALL bus operators and the public that the Minister of Health and Wellness Hon. Michel Chebat has announced a 21-day curfew for the entire country, which will commence on Saturday, 28th November, 2020 from 9:00 p.m. to 5:00 a.m.    Therefore, only those bus operators with a valid Road Service Permit with runs starting from 5:15 a.m. which are to return back to their original point of departure before 8:30 p.m. will be allowed to operate.    Special written permission must be granted by the Department of Transport to those bus operators who will need to operate outside of their normal bus schedule without interfering with the existing bus schedules within non-curfew hours.      https://web.archive.org/web/20201128062025/https://ambergriscaye.com/forum/ubbthreads.php/topics/546512/notice-to-all-bus-operators-on-curfew.html","belize","recommend closing/ significantly reduce volume"
"Bermuda","BMU",20201120,"C5: Close public transport",0,NA,"No policy change.","bermuda","no measures"
"Bolivia","BOL",20201201,"C5: Close public transport",0,NA,"""Public transport is operating, though social distancing and the use of masks in public vehicles places remains obligatory""   http://web.archive.org/web/20201207174911/https://bo.usembassy.gov/covid-19-information/","bolivia","no measures"
"Brazil","BRA",20201202,"C5: Close public transport",1,"Regional","In Fortaleza (CE), the city government has reduced the bus fleet since March. On December 7, a preliminary judicial decision determined that the city’s transportation system should go back to operating at 100% of its bus fleet in 10 days.     Link:   https://web.archive.org/web/20201208042002/https://g1.globo.com/ce/ceara/noticia/2020/12/07/prefeitura-e-etufor-deverao-liberar-100percent-da-frota-de-onibus-na-capital.ghtml  ","brazil","recommend closing/ significantly reduce volume"
"Barbados","BRB",20201130,"C5: Close public transport",1,"National","No change ","barbados","recommend closing/ significantly reduce volume"
"Brunei","BRN",20201201,"C5: Close public transport",0,NA,"No change.  Public transportation operating.  US Embassy Link: http://web.archive.org/web/20201206064005/https://bn.usembassy.gov/u-s-citizen-services-covid-19-information/","brunei","no measures"
"Bhutan","BTN",20201124,"C5: Close public transport",0,NA,"No new data available  ","bhutan","no measures"
"Botswana","BWA",20201130,"C5: Close public transport",0,NA,"No change. public transportation operating? Yes  Masks are required at all times on public transportation. Buses and vans operate at full capacity and do not always follow guidelines, so passengers should exercise extra caution when using public transportation  https://web.archive.org/web/20201206231725/https://bw.usembassy.gov/covid-19-information/","botswana","no measures"
"Central African Rep.","CAF",20201124,"C5: Close public transport",0,NA,"""Is public transportation operating? Yes""  https://web.archive.org/web/20201207183424/https://cf.usembassy.gov/covid-19-information/","central african rep.","no measures"
"Canada","CAN",20201030,"C5: Close public transport",0,NA,"Public transit remains open.","canada","no measures"
"Switzerland","CHE",20201102,"C5: Close public transport",0,NA,"No restrictions found","switzerland","no measures"
"Chile","CHL",20201124,"C5: Close public transport",1,"Regional","Transportation is running on a reduced schedule.  http://web.archive.org/web/*/https://www.gob.cl/coronavirus/plandeaccion/","chile","recommend closing/ significantly reduce volume"
"China","CHN",20201125,"C5: Close public transport",2,"Regional","No policy change in Manzhouli regarding the suspension of public transport.    https://archive.vn/rjloW    A region in DongJiangGang District of Tianjian remained as high-risk area. According to the Ministry of Transportation’s guideline: in high-risk area, number of passengers on public transit should be no more than 4 within a square meter.  Source:  https://web.archive.org/web/20201128013049/https://www.thepaper.cn/newsDetail_forward_10147397  http://web.archive.org/web/20201128015701/http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/tianjin/Document/1693290/1693290.htm  http://web.archive.org/web/20201114080759/http://xxgk.mot.gov.cn/2020/jigou/ysfws/202006/t20200623_3316078.html","china","require closing"
"Côte d'Ivoire","CIV",20201201,"C5: Close public transport",0,NA,"No policy change","côte d'ivoire","no measures"
"Cameroon","CMR",20201124,"C5: Close public transport",0,NA,"  It is mandatory to wear a mask and motorists are not allowed to take more people thank they have seat for. Please see:   https://web.archive.org/web/20201206224307/https://cm.usembassy.gov/covid-19-information/  ","cameroon","no measures"
"Dem. Rep. Congo","COD",20201027,"C5: Close public transport",0,NA,"Everything has been resumed since August in regards to COVID: https://web.archive.org/web/20201021163042/http://stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","no measures"
"Congo","COG",20201130,"C5: Close public transport",0,NA,"One needs to wear a mask while in public transport. Please see: https://web.archive.org/web/20201206213339/https://www.gov.uk/foreign-travel-advice/congo/-coronavirus","congo","no measures"
"Colombia","COL",20201123,"C5: Close public transport",1,"National","The sanitary emergency will extend until February 28, 2021  Most economic activities are now allowed, as are international flights, but face masks are required in public. Concerts and other large events are banned.  https://web.archive.org/web/20201126081754/https://www.reuters.com/article/us-health-coronavirus-colombia-idUSKBN28600T","colombia","recommend closing/ significantly reduce volume"
"Cape Verde","CPV",20201109,"C5: Close public transport",0,NA,"Public transportation in Cabo Verde is operating.    https://web.archive.org/web/20201123155427/https://www.tripsguard.com/destination/cabo-verde/","cape verde","no measures"
"Costa Rica","CRI",20201124,"C5: Close public transport",0,NA,"No updates here as per the Costa Rican Ministry of Health facebook page.    https://web.archive.org/web/20201206060836/https://www.facebook.com/msaludcr/","costa rica","no measures"
"Cuba","CUB",20201106,"C5: Close public transport",1,"Regional","Public transportation is limited in La Habana and strict sanitary measures must be followed by passengers. Source: https://web.archive.org/web/20201115151533/https://www.infobae.com/america/agencias/2020/10/12/cuba-acumula-6000-positivos-de-covid-19-al-inicio-de-la-nueva-normalidad/","cuba","recommend closing/ significantly reduce volume"
"Cyprus","CYP",20201130,"C5: Close public transport",1,"National","No change in policy.    As of November 17, incoming commercial flights to Ercan Airport remain limited to two per day. Face coverings are required on all public transport.    https://web.archive.org/web/20201202164213/https://cy.usembassy.gov/covid-19-information/","cyprus","recommend closing/ significantly reduce volume"
"Czech Republic","CZE",20201021,"C5: Close public transport",0,NA,"No measures included in announcements  https://web.archive.org/web/20201028085910/https://www.vlada.cz/en/media-centrum/aktualne/measures-adopted-by-the-czech-government-against-coronavirus-180545/","czech republic","no measures"
"Germany","DEU",20201130,"C5: Close public transport",1,"National","The federal and state governments call for unnecessary travel to be avoided in general. This also includes unnecessary journeys in public transport. Please wear an everyday mask on the S-Bahn and trains, in the train station, on the platform and at the stops as well as on the airport premises and on the plane. The minimum distance of 1.5 meters to travelers and staff should always be observed. Deutsche Bahn provides many tips on safe travel on its website. Unnecessary queues, e.g. B. in front of the on-board toilet can be avoided. The respective national hygiene regulations apply when getting on and off and at the airports. In general, please adhere to the rules of conduct that are summarized in the AHA formula (distance, hygiene rules, everyday mask). In this way, everyone can make a contribution while traveling to contain the spread of the new type of coronavirus. This formula is supplemented by A for app (the Corona warning app helps to break chains of infection) and L for ventilation.  https://web.archive.org/web/20201207220918/https://www.zusammengegencorona.de/informieren/alltag-gestalten/","germany","recommend closing/ significantly reduce volume"
"Djibouti","DJI",20201122,"C5: Close public transport",0,NA,"Is public transportation operating? Yes.    https://web.archive.org/web/20201126110524/https://dj.usembassy.gov/covid-19-information/","djibouti","no measures"
"Dominica","DMA",20201201,"C5: Close public transport",0,NA,"""Is public transportation operating? Yes  Passengers and driver must wear a mask inside the vehicle at all times.  The number of passengers will be limited to 70% capacity to allow for physical distancing.""    https://web.archive.org/web/20201201010524/https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/   https://web.archive.org/web/20201206000543/https://discoverdominica.com/en/travel-advisory-for-dominica","dominica","no measures"
"Denmark","DNK",20201124,"C5: Close public transport",0,NA,"Public transport is open but with mask-wearing and social distancing requirements.    http://web-old.archive.org/web/20201124073155/https://coronasmitte.dk/overblik","denmark","no measures"
"Dominican Republic","DOM",20201117,"C5: Close public transport",1,"National","No policy change","dominican republic","recommend closing/ significantly reduce volume"
"Algeria","DZA",20201130,"C5: Close public transport",2,"Regional","A curfew is in effect in 29 of Algeria’s 48 provinces, including in Algiers, where the curfew is from 11 pm to 6 am. The other provinces covered by the curfew are:  Boumerdes, Souk Ahras, Tissemsilt, Djelfa, Mascara, Oum El Bouaghi, Batna, Bouira, Relizane, Biskra, Khenchela, M’sila, Chlef, Sidi Bel Abbes, Médéa, Blida, Bordj Bou Arreridj, Tipaza, Ouargla, Bechar, Constantine, Oran, Sétif, Annaba, Bejaia, Adrar, Laghouat, El Oued.  Curfews are constantly being reviewed and revised and the curfew may be more restrictive in certain provinces or in certain areas of the provinces above for short periods of time as the health situation develops. Public transport is disrupted in these areas.    https://web.archive.org/web/20201207113108/https://dz.usembassy.gov/covid-19-information/","algeria","require closing"
"Ecuador","ECU",20201029,"C5: Close public transport",0,NA,"No restrictions: /web/20201109192911/https://ec.usembassy.gov/covid-19-information-ecu-2/","ecuador","no measures"
"Egypt","EGY",20201122,"C5: Close public transport",0,NA,"Is public transportation operating? Yes  Masks are required","egypt","no measures"
"Eritrea","ERI",20201116,"C5: Close public transport",2,"National","No change. Public Transportation has stopped services until further notice and most private cars are banned from the road. Urgent travel by car requires a permit. People are free to travel by foot or by bicycle. Source: https://web.archive.org/web/20201115141839/https://er.usembassy.gov/covid-19-information/   unchanged since Sept. 9th 2020","eritrea","require closing"
"Spain","ESP",20201130,"C5: Close public transport",0,NA,"no change in policy","spain","no measures"
"Estonia","EST",20201024,"C5: Close public transport",0,NA,"No restrictions: /web/20201102191805/https://www.visitestonia.com/en/why-estonia/coronavirus-and-travelling-to-estonia","estonia","no measures"
"Ethiopia","ETH",20201129,"C5: Close public transport",1,"National","No policy change identified following a review of previously used sources and a recent web search.","ethiopia","recommend closing/ significantly reduce volume"
"Finland","FIN",20201128,"C5: Close public transport",0,NA,"Citizens should avoid non-essential travel on public transport at peak hours, so that those who have to travel can do so safely. Walking and cycling are encouraged as an alternative. Passengers are also encouraged to wear face masks when taking public transportation. Source:   https://web.archive.org/web/20201130234404/https://www.hel.fi/helsinki/coronavirus-en/traffic  ","finland","no measures"
"Fiji","FJI",20201124,"C5: Close public transport",0,NA,"normally operating but customers encouraged to use covid-19 precautions. https://web.archive.org/web/20201130163301/https://www.fijivillage.com/news/People-urged-to-practice-physical-distancing-in-public-transport-fr8x45/","fiji","no measures"
"France","FRA",20201124,"C5: Close public transport",0,NA,"No change in policy","france","no measures"
"Faeroe Islands","FRO",20200514,"C5: Close public transport",0,NA,"SSL buses will now resume their normal schedule on all routes, with no requirement for prior booking. Some restrictions will still apply. A maximum of 22 passengers can travel with the larger buses, 10 with the medium size buses and 5 with people with the small buses.    https://web.archive.org/web/20201208121019/https://corona.fo/news/431/reopening-faroese-society-phase-3?_l=en","faeroe islands","no measures"
"Gabon","GAB",20201124,"C5: Close public transport",0,NA,"No new update","gabon","no measures"
"United Kingdom","GBR",20201203,"C5: Close public transport",1,"National","It is still advised to limit travel on public transport.     http://web.archive.org/web/20201207234123/https://www.gov.uk/guidance/tier-3-very-high-alert?priority-taxon=774cee22-d896-44c1-a611-e3109cce8eae","united kingdom","recommend closing/ significantly reduce volume"
"Georgia","GEO",20201201,"C5: Close public transport",2,"Regional","Public transportation is not operating between 9 PM and 5 AM. Only the transport in light vehicles (including taxis) is permitted. Taxis are limited to three people in the vehicle (a driver and two backseat passengers). In major cities, municipal transport is suspended.  Link: https://archive.fo/wip/LILgr and https://archive.fo/rII13 ","georgia","require closing"
"Ghana","GHA",20201124,"C5: Close public transport",0,NA,"No policy change","ghana","no measures"
"Guinea","GIN",20201123,"C5: Close public transport",0,NA,"No public transportation in Guinea","guinea","no measures"
"Gambia","GMB",20201124,"C5: Close public transport",0,NA,"No changes  https://web.archive.org/save/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/?_ga=2.222803228.685612913.1606144271-1301692634.1606144271","gambia","no measures"
"Greece","GRC",20201201,"C5: Close public transport",1,"National","No change in policy.","greece","recommend closing/ significantly reduce volume"
"Greenland","GRL",20201029,"C5: Close public transport",0,NA,"A regular public transport service remains in place. Source: http://web.archive.org/web/20201108223135/http://bus.gl/wp-content/uploads/2020/10/koreplaner-19102020Koreplan-samlet-HVERDAGE.pdf","greenland","no measures"
"Guatemala","GTM",20201129,"C5: Close public transport",1,"National","No policy change.    https://web.archive.org/web/20201205084005/https://www.gov.uk/foreign-travel-advice/guatemala/coronavirus","guatemala","recommend closing/ significantly reduce volume"
"Guam","GUM",20201123,"C5: Close public transport",0,NA,"No new update.","guam","no measures"
"Guyana","GUY",20201201,"C5: Close public transport",1,"National","No updates:  https://web.archive.org/web/20201206192027/https://officialgazette.gov.gy/images/gazette2020/nov/Extra_30NOV2020.pdf","guyana","recommend closing/ significantly reduce volume"
"Hong Kong","HKG",20201202,"C5: Close public transport",1,"National","To contain the outbreak of the Coronavirus, a few train stations and bus routes are closed or adjusted.  Source:   http://web.archive.org/web/20201205082117/https://www.td.gov.hk/en/special_news/spnews.htm","hong kong","recommend closing/ significantly reduce volume"
"Honduras","HND",20201115,"C5: Close public transport",2,"National","No policy change.  http://web.archive.org/web/20201206092842/https://www.sica.int/coronavirus/observatorioSICACOVID19/medidas/honduras","honduras","require closing"
"Croatia","HRV",20201129,"C5: Close public transport",0,NA,"No change found. ","croatia","no measures"
"Haiti","HTI",20201124,"C5: Close public transport",0,NA,"No policy change.","haiti","no measures"
"Hungary","HUN",20201123,"C5: Close public transport",1,"National","Public transport is running. Masks must be worn when using public transport.  Source: http://web.archive.org/web/20201130162450/https://hu.usembassy.gov/covid-19/","hungary","recommend closing/ significantly reduce volume"
"Indonesia","IDN",20201119,"C5: Close public transport",1,"Regional","""While the government has lifted most restrictions regarding transit and daily activity, measures remain in place limiting large-scale gatherings and non-essential travel. Schools and large public gathering areas also remain closed, however **public transit and access to essential services including grocery stores is widely available.**""    ""Is public transportation operating? Yes  Individuals utilizing public transmit must comply with large-scale social distancing policies which includes the mandatory use of face masks and maintaining appropriate physical separation.""    https://web.archive.org/web/20201206224550/https://id.usembassy.gov/u-s-citizen-services/covid-19-information/","indonesia","recommend closing/ significantly reduce volume"
"India","IND",20200826,"C5: Close public transport",1,"National","“Limited train services have resumed.” “Limited inter-state movements of passenger vehicles and buses is now permitted this will vary from state to state within India.” Source: https://web.archive.org/web/20200905142508/https://www.gov.uk/foreign-travel-advice/india/coronavirus  Metro rail remains closed, but “will be allowed to operate with effect from 7th September 2020 in a graded manner, by the Ministry of Housing and Urban Affairs (MOHUA)/ Ministry of Railways (MOR), in consultation with MHA. In this regard, SOP will be issued by MOHUA.” Source: http://web.archive.org/web/20200903144355/https://cdnbbsr.s3waas.gov.in/s3850af92f8d9903e7a4e0559a98ecc857/uploads/2020/08/2020082958.pdf","india","recommend closing/ significantly reduce volume"
"Ireland","IRL",20201124,"C5: Close public transport",1,"National","Public transit remains operational at 25% capacity.  https://web.archive.org/web/20201201204457/https://www.gov.ie/en/publication/2dc71-level-5/","ireland","recommend closing/ significantly reduce volume"
"Iran","IRN",20201203,"C5: Close public transport",1,"National","no change since last update     https://web.archive.org/web/20201202120136/https://www.arabnews.com/node/1756581/middle-east    JEDDAH:: Mosques, schools, universities, beauty salons, cafes, gyms, museums, theaters and swimming pools in 25 of Iran’s 31 provinces were ordered to close for 10 days from next Wednesday.    In Tehran, the closure of beauty salons, teahouses, cinemas, libraries and fitness clubs has been extended for a week.     Police will make unannounced visits to other high-risk businesses, and any found to be breaking health rules will be shut down. Weddings, funeral gatherings and conferences in the capital have been banned.  ","iran","recommend closing/ significantly reduce volume"
"Iraq","IRQ",20201124,"C5: Close public transport",1,"National","No change:  https://web.archive.org/web/20201207205146/https://iq.usembassy.gov/covid-19-information/","iraq","recommend closing/ significantly reduce volume"
"Iceland","ISL",20201130,"C5: Close public transport",0,NA,"No policy change","iceland","no measures"
"Israel","ISR",20201203,"C5: Close public transport",2,"Regional","The Minister of Health approved the following designations for restricted areas:  1. Designating Shefa-Amr as a restricted area for four days, effective tomorrow, 3.12.2020 at 17:00 until Monday 7.12.2020 at 17:00.   2. Extending Yafi and Umm al-Fahm's designation as restricted areas for three additional days, until Sunday, 6.12.2020 at 17:00.  3. Revoking Arraba's designation as a restricted area   It is forbidden to exit home except for special circumstances.    Source:  https://web.archive.org/web/20201207145712/https://www.gov.il/en/departments/news/02122020-01  https://web.archive.org/web/20201207144925/https://www.gov.il/en/departments/guides/ramzor-cites-guidelines?chapterIndex=4","israel","require closing"
"Italy","ITA",20201126,"C5: Close public transport",1,"National","no change in policy, transport reduced to 50% since November 6th https://web.archive.org/web/20201207151225/https://www.today.it/attualita/sui-mezzi-del-trasporto-pubblico-capienza-ridotta-del-50.html","italy","recommend closing/ significantly reduce volume"
"Jamaica","JAM",20201110,"C5: Close public transport",1,"National","No update: https://archive.vn/5100y","jamaica","recommend closing/ significantly reduce volume"
"Jordan","JOR",20201124,"C5: Close public transport",1,"National","No updates  https://web.archive.org/web/20201208002726/https://jo.usembassy.gov/covid-19-information/","jordan","recommend closing/ significantly reduce volume"
"Japan","JPN",20201201,"C5: Close public transport",1,"National","""Under the current border control policy, all travelers from abroad, Japanese or foreign, are asked not to use public transportation for the entirety of their two-week quarantine period, including immediately after arrival, due to the risk of spreading the virus.  ...  In an apparent compromise meant to ease rules on public transportation, the government is now reportedly considering whether to allow travelers to use trains to depart airports after all — on condition that they will be segregated into cars set aside exclusively for them, according to the Nikkei business daily.    The transport ministry is also now arranging for Airport Transport Service Co. to run shuttle buses from Narita and Haneda airports to some 12 hotels within Tokyo to relieve travelers of expensive taxi fares, ministry official Keita Yamamoto said. If all goes well, the service is set to start on Dec. 16, according to the airport bus operator.""    https://web.archive.org/web/20201207075227/https://www.japantimes.co.jp/news/2020/12/07/national/inbound-travelers-japan-public-transit/","japan","recommend closing/ significantly reduce volume"
"Kazakhstan","KAZ",20201129,"C5: Close public transport",1,"Regional","The Kostanay region extended quarantine measures until December 7.   Public transport does not operate during weekends and holidays.   Link: https://archive.vn/qm8Mf   ","kazakhstan","recommend closing/ significantly reduce volume"
"Kenya","KEN",20201201,"C5: Close public transport",1,"National","No change.  Public transport is operational. Users must wear masks and social distancing requirements in the form of capacity restrictions are in place.  Source: https://web.archive.org/web/20201207144926/https://www.gov.uk/foreign-travel-advice/kenya/coronavirus","kenya","recommend closing/ significantly reduce volume"
"Kyrgyzstan","KGZ",20201129,"C5: Close public transport",0,NA,"No changes found since last announcements.","kyrgyzstan","no measures"
"Cambodia","KHM",20201025,"C5: Close public transport",0,NA,"No policy changes.     https://web.archive.org/web/20201109094433/https://www.gov.uk/foreign-travel-advice/cambodia/coronavirus","cambodia","no measures"
"South Korea","KOR",20201208,"C5: Close public transport",2,"Regional","From December 8th, evening subway services will be reduced to 70 percent after 9pm daily.     https://archive.vn/pNnW0","south korea","require closing"
"Kuwait","KWT",20201201,"C5: Close public transport",1,"National","No change:  https://web.archive.org/web/20201207202816/https://kw.usembassy.gov/covid-19-information/","kuwait","recommend closing/ significantly reduce volume"
"Laos","LAO",20201130,"C5: Close public transport",0,NA,"Public transportation has resumed operation. Restaurants, grocery stores, and schools/universities are open, and large gatherings and religious ceremonies are permitted. Entertainment venues such as karaoke lounges are opened.    http://web.archive.org/web/20201129203136/https://la.usembassy.gov/covid-19-information/","laos","no measures"
"Lebanon","LBN",20201130,"C5: Close public transport",2,"National","No policy change found.  ","lebanon","require closing"
"Liberia","LBR",20201019,"C5: Close public transport",1,"National","On 28 October 2020, there is no record of changes to any current policies on the Executive Mansion or Ministry of Health sites.  On 27 October 2020, Health Minister, Dr. Wilhelmina Jallah, indicated that people should continue to follow all health protocols prescribed by the World Health Organization (WHO) and health authorities in Liberia.    https://web.archive.org/web/20201029060315/https://moh.gov.lr/press-release/2020/moh-receives-15-ambulances-from-world-bank-to-fight-covid-19/","liberia","recommend closing/ significantly reduce volume"
"Libya","LBY",20201116,"C5: Close public transport",2,"National","Travel between cities in western Libya, the use of public transportation, social gatherings, and the operation of nonessential businesses remain prohibited until further notice  https://web.archive.org/web/20201201053526/https://www.worldaware.com/warning-alert-authorities-libya-maintaining-varied-levels-covid-19-related-restrictions  ","libya","require closing"
"Sri Lanka","LKA",20201102,"C5: Close public transport",0,NA,"source: https://web.archive.org/web/20201115211023/https://www.newsfirst.lk/2020/11/10/public-transport-services-operate-despite-low-passenger-numbers/    Public transportation was operating within the country, except for ""isolated"" regions.  ""all buses were prepared for operation, however, only 10% was added to service due to low passenger numbers""  ""Deputy General Manager of the Sri Lanka Transport Board A. H. Panduka said more than 2300 SLTB buses were deployed for operations, however, these buses did not operate inside isolated areas.""  ""Railways Superintendent W. D. R. Pathmalal said Sri Lanka Railways was able to operate all 136 Train Operations on Monday (09) for the benefit of the general public.""  ""Ascertain areas in Panadura are in lock-down, 12 new train operations will be introduced to transport passengers between Fort and Panadura""","sri lanka","no measures"
"Lesotho","LSO",20201118,"C5: Close public transport",0,NA,"No change","lesotho","no measures"
