"CountryName","gathering-CountryCode","gathering-Date","Gathering Restrictions","gathering-PolicyValue","gathering-Flag","gathering-Notes","gathering-region","gathering-value"
"Bangladesh","BGD",20201110,"C4: Restrictions on gatherings",4,"Regional","Targeted: According to the US Embassy Website in Bangladesh as of Nov 11, 2020 https://web.archive.org/web/20201111005505/https://bd.usembassy.gov/covid-19-information/:   ""Currently, only certain sectors located within the Wari jurisdiction of the Dhaka South City Corporation are designated as ‘lockdown/containment’ zones. In these areas, the City Corporations will facilitate emergency response services.    It is important to note GoB officials have confirmed that the list of Red zones does not mean the areas are or will be under lockdown restrictions.    Restrictions on Designated Lockdown/Containment Areas:  - No public gatherings of any kind are allowed.  - Pedestrian and vehicular movements controlled through secured entry/exit points.  - Residents should remain within their homes except for emergencies or for essential needs.  - No indoor dining services allowed. Delivery food service options are available.  - Grocery stores and pharmacies will remain open.  - Residents will be allowed to shop in bazaars only when necessary.  - Residents must work from home.  - Transportation will be suspended. Rickshaws, vans, taxis, auto-rickshaws, and private vehicles are not permitted inside the demarcated areas during the 21-day lockdown.  - COVID-19 tests will be available to residents, and home isolation or institutional isolation will be arranged for patients who test positive.  - Shopping malls, gyms, sports complexes and recreation centres will be closed.  - Only people who are ill may go to hospitals.  - Mosques and other places of worship are closed to residents. Only official staff are permitted to enter.  - ATM services will remain open. Banks will operate in a limited capacity.  - Factories in towns will remain closed, but factories and agricultural production-related factories in rural areas can remain operational.  - Agricultural work must be performed under strict health and hygiene regulations.""    This information has not changed as of Nov 18, 2020: https://web.archive.org/web/20201122221519/https://bd.usembassy.gov/covid-19-information/      IN GENERAL: COVID19-related restrictions seem be removed, although with strict adherence to mask wearing.  Dhaka Tribune: ""On October 31, the Cabinet Division sent notices to all public offices of the country, asking them to restrict entry and to refuse service to anyone without a mask. The notice further said masks have been made compulsory for all offices, courts, shopping malls, bazaars, state or government buildings and **social events**.""  source: https://web.archive.org/web/20201122215536/https://www.dhakatribune.com/health/coronavirus/2020/11/02/no-restriction-on-public-movement-to-curb-second-wave-of-covid-19    Nov 12, reuters.com: ""“The decision has been taken considering the second wave... We can’t play with the lives of our children,” said a senior official of the education ministry, who declined to be named. **The government however, has lifted most other restrictions**""  source: https://web.archive.org/web/20201122212335if_/https://www.reuters.com/article/us-health-coronavirus-bangladesh-educati/bangladesh-extends-school-shutdown-over-second-covid-19-wave-idUSKBN27S26A  ","bangladesh","restrictions on gatherings of <= 10 people"
"Bulgaria","BGR",20201130,"C4: Restrictions on gatherings",3,"National","No policy change    As of 7 December, order RD-01-677 remains in effect.    It is not allowed to organize and hold gatherings and celebrations of a private nature (weddings, baptisms, funerals, etc.) with the presence of more than 15 people.    https://web.archive.org/web/20201207051648/https://coronavirus.bg/bg/merki/ogranichitelni-merki","bulgaria","restrictions on gatherings between 11-100 people"
"Bahrain","BHR",20201124,"C4: Restrictions on gatherings",4,"National","Gatherings of more than five individuals on roads, yards, public beaches, parks, and other public places are prohibited. Private beaches are open with mandatory health precautions.  https://web.archive.org/web/20201207161240/https://bh.usembassy.gov/covid-19-information/  ","bahrain","restrictions on gatherings of <= 10 people"
"Bosnia and Herzegovina","BIH",20201127,"C4: Restrictions on gatherings",3,"National","No policy change.","bosnia and herzegovina","restrictions on gatherings between 11-100 people"
"Belarus","BLR",20201128,"C4: Restrictions on gatherings",0,NA,"No change to policy.  https://web.archive.org/web/20201128122842/https://www.gov.uk/foreign-travel-advice/belarus/coronavirus","belarus","no restrictions"
"Belize","BLZ",20201128,"C4: Restrictions on gatherings",4,"National","Restriction of gatherings shall remain at 10 persons. There will no gatherings in public places and stores.    https://web.archive.org/web/20201128061228/https://www.caribbeannationalweekly.com/caribbean-breaking-news-featured/belize-announces-new-covid-19-measures-including-nightly-curfew/","belize","restrictions on gatherings of <= 10 people"
"Bermuda","BMU",20201120,"C4: Restrictions on gatherings",3,"National","Public Health (Covid-19 Emergency Powers) (No. 3) Regulations 2020 remain in place, limiting events and gatherings (75 people)  https://web.archive.org/web/20201029002018/http://www.bermudalaws.bm/laws/Annual%20Laws/2020/Statutory%20Instruments/Public%20Health%20%28COVID-19%20Emergency%20Powers%29%20%28No.%203%29%20Regulations%202020.pdf","bermuda","restrictions on gatherings between 11-100 people"
"Bolivia","BOL",20201201,"C4: Restrictions on gatherings",0,NA,"Suspension of restrictions    http://web.archive.org/web/20201207174911/https://bo.usembassy.gov/covid-19-information/","bolivia","no restrictions"
"Brazil","BRA",20201203,"C4: Restrictions on gatherings",4,"Regional","The city government of Natal (RN) prohibited events with more than 50 people.    Link:  https://web.archive.org/web/20201208035540/https://g1.globo.com/rn/rio-grande-do-norte/noticia/2020/12/05/prefeitura-cancela-natal-em-natal-reveillon-na-praia-e-carnaval-2021-e-proibe-eventos-com-mais-de-50-pessoas.ghtml      The state government in Parana prohibited events with more than 10 people.    Link:  https://web.archive.org/web/20201208041331/https://g1.globo.com/pr/parana/noticia/2020/12/03/coronavirus-governo-do-parana-restringe-consumo-e-venda-de-bebidas-alcoolicas-e-proibe-eventos-com-mais-de-10-pessoas.ghtml  ","brazil","restrictions on gatherings of <= 10 people"
"Barbados","BRB",20201130,"C4: Restrictions on gatherings",2,"National","No change ","barbados","restrictions on gatherings between 101-1000 people"
"Brunei","BRN",20201201,"C4: Restrictions on gatherings",2,"National","Restriction for 350 people only.    Brunei Government MOH: http://web.archive.org/web/20201020103402/http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/Mass%20gathering%20EN_24092020.pdf","brunei","restrictions on gatherings between 101-1000 people"
"Bhutan","BTN",20201124,"C4: Restrictions on gatherings",3,"National","No new data available.","bhutan","restrictions on gatherings between 11-100 people"
"Botswana","BWA",20201130,"C4: Restrictions on gatherings",3,"National","No change. Botswana will continue to restrict public gatherings but it has reopened schools and allows the sale of liquor during limited hours. Facemasks must be worn in all public places.  https://web.archive.org/web/20201206231515/https://apnews.com/article/virus-outbreak-southern-africa-travel-gaborone-africa-5676fe68e59bd947cefefdfde490fb51","botswana","restrictions on gatherings between 11-100 people"
"Central African Rep.","CAF",20201124,"C4: Restrictions on gatherings",0,NA,"""Is a curfew in place? No""  https://web.archive.org/web/20201207183424/https://cf.usembassy.gov/covid-19-information/  ","central african rep.","no restrictions"
"Canada","CAN",20201207,"C4: Restrictions on gatherings",4,"Regional","Effective 7 December, the province of Prince Edward Island (PEI) restricted indoor and outdoor gatherings to 10 persons. See government of PEI website, archived:  https://web.archive.org/web/20201207125737/https://www.princeedwardisland.ca/en/information/health-and-wellness/pei-covid-19-circuit-breaker-december-2020","canada","restrictions on gatherings of <= 10 people"
"Switzerland","CHE",20201102,"C4: Restrictions on gatherings",4,"National","Private gatherings can have a maximum of 10 people, preferably from no more than two households. Outdoors 'spontaneous' gatherings can have a maximum of 15 people.     In Geneva, Jura, Neuchâtel, Solothurn and Ticino public and private gatherings are limited to max 5 people.      http://web.archive.org/web/20201207170557/https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html    http://web.archive.org/web/20201207195443/https://www.thelocal.ch/20201111/what-are-the-coronavirus-shutdown-measurers-in-every-swiss-canton","switzerland","restrictions on gatherings of <= 10 people"
"Chile","CHL",20201124,"C4: Restrictions on gatherings",4,"Regional","In certain regions that are in stage 1, they must stay at home, only leaving their house twice a week for purchases or essential procedures with an individual permit that you can get via comisariavirtual.cl.  http://web.archive.org/web/*/https://www.gob.cl/coronavirus/plandeaccion/  https://web.archive.org/web/*/https://www.gob.cl/coronavirus/pasoapaso/","chile","restrictions on gatherings of <= 10 people"
"China","CHN",20201125,"C4: Restrictions on gatherings",4,"Regional","No policy change.   A region in DongJiangGang District of Tianjian remained as high-risk area. Gatherings outside of house were banned within this region.  Source:  https://web.archive.org/web/20201128013049/https://www.thepaper.cn/newsDetail_forward_10147397  http://web.archive.org/web/20201128015701/http://www.scio.gov.cn/xwfbh/gssxwfbh/xwfbh/tianjin/Document/1693290/1693290.htm","china","restrictions on gatherings of <= 10 people"
"Côte d'Ivoire","CIV",20201201,"C4: Restrictions on gatherings",0,NA,"No policy change","côte d'ivoire","no restrictions"
"Cameroon","CMR",20201124,"C4: Restrictions on gatherings",3,"National","There is a restriction on gatherings. It is limited to 50 people according to the UK government on travel to Cameroon. Please see:  https://web.archive.org/web/20201206224531/https://www.gov.uk/foreign-travel-advice/cameroon/coronavirus","cameroon","restrictions on gatherings between 11-100 people"
"Dem. Rep. Congo","COD",20201027,"C4: Restrictions on gatherings",0,NA,"Everything has been resumed since August in regards to COVID: https://web.archive.org/web/20201021163042/http://stopcoronavirusrdc.info/directives-prises-par-le-gouvernement","dem. rep. congo","no restrictions"
"Congo","COG",20201130,"C4: Restrictions on gatherings",3,"National","The number of people allowed to gather remains 50 with social distancing measures in place. Please see: https://web.archive.org/web/20201206213339/https://www.gov.uk/foreign-travel-advice/congo/-coronavirus","congo","restrictions on gatherings between 11-100 people"
"Colombia","COL",20201123,"C4: Restrictions on gatherings",3,"National","The sanitary emergency will extend until February 28, 2021  Most economic activities are now allowed, as are international flights, but face masks are required in public. Concerts and other large events are banned.  https://web.archive.org/web/20201126081754/https://www.reuters.com/article/us-health-coronavirus-colombia-idUSKBN28600T","colombia","restrictions on gatherings between 11-100 people"
"Cape Verde","CPV",20201109,"C4: Restrictions on gatherings",4,"National"," Private family gatherings are limited to 10 people. Attendance at religious services and ceremonies is limited to one third capacity and subject to social distancing, temperature checking, hand hygiene and the use of a face mask.    https://web.archive.org/web/20201123144618/https://www.gov.uk/foreign-travel-advice/cape-verde/coronavirus","cape verde","restrictions on gatherings of <= 10 people"
"Costa Rica","CRI",20201124,"C4: Restrictions on gatherings",3,"National","No updates here as per the Costa Rican Ministry of Health facebook page.    https://web.archive.org/web/20201206060836/https://www.facebook.com/msaludcr/","costa rica","restrictions on gatherings between 11-100 people"
"Cuba","CUB",20201130,"C4: Restrictions on gatherings",4,"National","Shops in all Provinces can open but must limit the number of customers within the shop. This means there are queues to enter shops.  Cafés, bars and restaurants are allowed to open but must limit the opening hours, the number of customers and separate tables by 1.5 metres. Bars and discos are still closed.  The re-opening measures below apply to all of Cuba:  Public parks will be open.  Social clubs, gyms, museums, etc can re-open to a limited capacity and visitors must observe social distancing.  Swimming pools can open to a limited capacity and to restricted visit times, to allow cleaning for the next opening times.  Beaches are open, but limited numbers of people may be allowed, and there may be personnel at the beaches to manage access.  Churches are also able to re-open for services.  Provinces can start to re-open theatres and cinemas (with capacity restrictions) and hold some sporting events.  Source: https://web.archive.org/web/20201201181436/https://www.gov.uk/foreign-travel-advice/cuba/coronavirus","cuba","restrictions on gatherings of <= 10 people"
"Cyprus","CYP",20201130,"C4: Restrictions on gatherings",4,"National","No change in policy.    In a statement by the Minister of Health, Mr Constantinos Ioannou, on 27 November 2020 extraordinary measures were announced, which will come into effect on an island-wide basis as from 30 November to 13 December 2020. Gatherings of persons in residences are allowed, with a maximum number of 10 persons per residence, including underage children.    https://web.archive.org/web/20201202162051/https://www.pio.gov.cy/en/press-releases-article.html?id=17077#flat","cyprus","restrictions on gatherings of <= 10 people"
"Czech Republic","CZE",20201203,"C4: Restrictions on gatherings",4,"National","From the 3rd of December, up to 10 people can gather indoors, and up to 50 people can gather outdoors.     https://web.archive.org/web/20201206162745/https://koronavirus.mzcr.cz/vlada-prijala-opatreni-platna-pro-treti-stupen-pes-parlamentu-navrhne-bezuplatne-dobrovolne-ockovani-proti-covid-19/","czech republic","restrictions on gatherings of <= 10 people"
"Germany","DEU",20201130,"C4: Restrictions on gatherings",4,"National","According to the resolution of November 25th, a stricter contact restriction applies. Citizens are asked to reduce contact with other people outside of their own household to ""an absolutely necessary minimum"". The members of your own household and of another household may be in public together. The upper limit is 5 people from December 1st. Please also note the requirements in your region. In general, limit your private celebrations and stick to the AHA + L formula: keep your distance (1.5 meters), observe hygiene rules and wear everyday masks. Regular ventilation applies indoors. Also, note the rules in your state.","germany","restrictions on gatherings of <= 10 people"
"Djibouti","DJI",20201122,"C4: Restrictions on gatherings",4,"National","Gatherings of more than 10 people are prohibited. Thereby, gatherings of people fewer than 10 people are permitted.    https://web.archive.org/web/20201115085005/https://www.gov.uk/foreign-travel-advice/djibouti/coronavirus","djibouti","restrictions on gatherings of <= 10 people"
"Dominica","DMA",20201201,"C4: Restrictions on gatherings",1,"National","""A maximum of 250 persons may gather together at any one time.""     https://web.archive.org/web/20201205233138/https://www.gov.uk/foreign-travel-advice/dominica/coronavirus","dominica","restrictions on gatherings > 1000 people"
"Denmark","DNK",20201124,"C4: Restrictions on gatherings",4,"National","The government continues to restrict assemblies. With a few exceptions, ""[i]t is forbidden to hold or participate in events, events, activities or the like where more than 10 people are present in the same place at the same time. The ban applies both indoors and outdoors and includes both public and private events, events, etc.""    http://web-old.archive.org/web/20201124074446/https://coronasmitte.dk/arrangementer-og-forsamlinger    http://web-old.archive.org/web/20201124073155/https://coronasmitte.dk/overblik","denmark","restrictions on gatherings of <= 10 people"
"Dominican Republic","DOM",20201117,"C4: Restrictions on gatherings",3,"National","No policy change","dominican republic","restrictions on gatherings between 11-100 people"
"Algeria","DZA",20201122,"C4: Restrictions on gatherings",4,"National","There is a nationwide ban on family gatherings of any kind, including marriages.    https://web.archive.org/web/20201129080406/https://www.gov.uk/foreign-travel-advice/algeria/coronavirus","algeria","restrictions on gatherings of <= 10 people"
"Ecuador","ECU",20201029,"C4: Restrictions on gatherings",3,"National","No update: /web/20201109195357/https://www.gov.uk/foreign-travel-advice/ecuador/coronavirus","ecuador","restrictions on gatherings between 11-100 people"
"Egypt","EGY",20201122,"C4: Restrictions on gatherings",2,"National","Starting September 21, funeral prayers and wedding ceremonies held in open-air venues have been allowed, for a maximum limit of 300 people.     https://web.archive.org/web/20201129090318/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19","egypt","restrictions on gatherings between 101-1000 people"
"Eritrea","ERI",20201116,"C4: Restrictions on gatherings",3,"National","No change. All gatherings of over 10 people are prohibited without a government permit. Source: https://web.archive.org/web/20201115141839/https://er.usembassy.gov/covid-19-information/ unchanged since Sept. 9th 2020","eritrea","restrictions on gatherings between 11-100 people"
"Spain","ESP",20201130,"C4: Restrictions on gatherings",4,"National","no change in policy","spain","restrictions on gatherings of <= 10 people"
"Estonia","EST",20201128,"C4: Restrictions on gatherings",4,"National","The 2+2 rules is extended to all public indoor spaces: two people can move together but must keep a distance of two metres from other people. 10+2 continues to apply in catering establishments and places where entertainment services are provided.   A lower maximum number for participants in public events will apply: up to 400 people at an indoor event with stationary seating, otherwise it is 250 people. For outdoor events, the maximum number is 500.   https://web.archive.org/web/20201124125119/https://www.valitsus.ee/en/news/government-approved-restrictions-prevent-spread-coronavirus","estonia","restrictions on gatherings of <= 10 people"
"Ethiopia","ETH",20201129,"C4: Restrictions on gatherings",3,"National","No policy change identified following a review of previously used sources and a recent web search.","ethiopia","restrictions on gatherings between 11-100 people"
"Finland","FIN",20201130,"C4: Restrictions on gatherings",4,"Regional","Coding change based on the following guidance in training slides ""Note that under the new and revised wording of level 4, a policy that permits a gathering up to and including 10 people would be coded as a 4.”    The region below prohibits public events and meetings over 10 people.     ""Organizing public events and general meetings for more than 10 people indoors and outdoors is prohibited. When organizing public events and general meetings for up to 10 people, the hygiene and safety guidelines of THL and OKM must be followed. The regulation applies to the following areas:    Helsinki and Uusimaa Hospital District , from 30 November to 18 December. See the bulletin for more information, Opens in a new tab.  Päijät-Häme Hospital District, from 30 November to 14 December. See the bulletin for more information, Opens in a new tab.  Kanta-Häme Hospital District, from 1 to 20 December. See the bulletin for more information, Opens in a new tab.  Kymenlaakso Hospital District, from 1 to 20 December.""  https://web.archive.org/web/20201208054525/https://avi.fi/usein-kysyttya-koronaviruksesta ","finland","restrictions on gatherings of <= 10 people"
"Fiji","FJI",20201124,"C4: Restrictions on gatherings",2,"National","Allowed gathering up to 50% Capacity in  indoor and outdoors facilities since 26/08/2020.  https://web.archive.org/web/20201130162554/http://www.health.gov.fj/statement-by-ps-health-on-border-case-and-covid-safe-amendments/","fiji","restrictions on gatherings between 101-1000 people"
"France","FRA",20201201,"C4: Restrictions on gatherings",4,"National","Gatherings of more than 6 people on public roads are prohibited with the exception of protest demonstrations declared to the prefectural authorities, funeral ceremonies or even patriotic ceremonies which must guarantee respect for barrier gestures.  https://web.archive.org/save/https://www.gouvernement.fr/info-coronavirus  https://web.archive.org/save/https://www.gouvernement.fr/info-coronavirus/loisirs","france","restrictions on gatherings of <= 10 people"
"Faeroe Islands","FRO",20200531,"C4: Restrictions on gatherings",2,"National","Bars and nightclubs continue to be advised to close before midnight. The Government is currently considering options for enforcing this as a compulsory restriction.    https://web.archive.org/web/20201208130649/https://corona.fo/news/458/reopening-the-faroe-islands?_l=en  ","faeroe islands","restrictions on gatherings between 101-1000 people"
"Gabon","GAB",20201124,"C4: Restrictions on gatherings",3,"National","No new update","gabon","restrictions on gatherings between 11-100 people"
"United Kingdom","GBR",20201203,"C4: Restrictions on gatherings",4,"Regional","In tier 3, you must not meet socially (in a private garden or at most outdoor public venues), with anybody you do not live with.    http://web.archive.org/web/20201207234123/https://www.gov.uk/guidance/tier-3-very-high-alert?priority-taxon=774cee22-d896-44c1-a611-e3109cce8eae  ","united kingdom","restrictions on gatherings of <= 10 people"
"Georgia","GEO",20201201,"C4: Restrictions on gatherings",4,"National","Social events such as weddings and funerals are limited to 10 guests.  Link: https://archive.fo/kYCaw","georgia","restrictions on gatherings of <= 10 people"
"Ghana","GHA",20201124,"C4: Restrictions on gatherings",3,"National","No policy change","ghana","restrictions on gatherings between 11-100 people"
"Guinea","GIN",20201201,"C4: Restrictions on gatherings",2,"National","No changes. There is a limit of 100 people assembling for marriage, baptism and funeral services in Conakry. Schools and mosques have reopened     https://web.archive.org/web/20201207233500/https://www.gov.uk/foreign-travel-advice/guinea/coronavirus","guinea","restrictions on gatherings between 101-1000 people"
"Gambia","GMB",20201124,"C4: Restrictions on gatherings",4,"National","No changes  https://web.archive.org/save/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/?_ga=2.222803228.685612913.1606144271-1301692634.1606144271","gambia","restrictions on gatherings of <= 10 people"
"Greece","GRC",20201201,"C4: Restrictions on gatherings",4,"National","No change in policy.","greece","restrictions on gatherings of <= 10 people"
"Greenland","GRL",20201029,"C4: Restrictions on gatherings",2,"National","No recent policy changes found regarding restrictions on gatherings.   The latest update remains that there is an executive order in place, until and including the 31st January 2021, which states: “There must be a maximum of 100 people for an indoor event, provided that the rules on occupancy in the room itself of a maximum of 50% of what is allowed are also complied with. For outdoor events, there can be a maximum of 250 people.”  Source: http://web.archive.org/web/20201019195758/https://naalakkersuisut.gl/da/Naalakkersuisut/Nyheder/2020/07/310720-Midlertidige-restriktioner-ved-forsamlinger-mv-forlaenges","greenland","restrictions on gatherings between 101-1000 people"
"Guatemala","GTM",20201129,"C4: Restrictions on gatherings",4,"Regional","No policy change.    https://web.archive.org/web/20201205084210/https://covid19.gob.gt/disposiciones.html","guatemala","restrictions on gatherings of <= 10 people"
"Guam","GUM",20201123,"C4: Restrictions on gatherings",4,"National","SOCIAL GATHERINGS OR CONGREGATIONS. A “congregation” or “social gathering” is a meeting for a common and singular purpose where individuals are not members of a single household. Social gatherings and congregations shall be limited to no more than five (5) persons, unless otherwise provided herein or in applicable DPHSS Guidance or Directives. The terms “social gathering” and “congregation” are not intended to include meetings of businesses, organizations, or government agencies held for the purpose of carrying out official business of such entities.  Source: http://web.archive.org/web/20201130173638/https://guamrecovery.com/guam-is-in-pandemic-condition-of-readiness-1-pcor-1-effective-at-1201-a-m-on-sunday-august-16-2020-through-1159-p-m-on-saturday-august-29-2020/","guam","restrictions on gatherings of <= 10 people"
"Guyana","GUY",20201201,"C4: Restrictions on gatherings",4,"National","No updates:  https://web.archive.org/web/20201206192027/https://officialgazette.gov.gy/images/gazette2020/nov/Extra_30NOV2020.pdf","guyana","restrictions on gatherings of <= 10 people"
"Hong Kong","HKG",20201202,"C4: Restrictions on gatherings",4,"National","Effective from December 2, the number of persons allowed in group gatherings in public places will be tightened from four to two.  Source:   http://web.archive.org/web/20201205080111/https://www.info.gov.hk/gia/general/202012/01/P2020120100979.htm?fontSize=1","hong kong","restrictions on gatherings of <= 10 people"
"Honduras","HND",20201115,"C4: Restrictions on gatherings",4,"National","No policy change.  http://web.archive.org/web/20201206092842/https://www.sica.int/coronavirus/observatorioSICACOVID19/medidas/honduras","honduras","restrictions on gatherings of <= 10 people"
"Croatia","HRV",20201129,"C4: Restrictions on gatherings",4,"National","No change found. ","croatia","restrictions on gatherings of <= 10 people"
"Haiti","HTI",20201124,"C4: Restrictions on gatherings",3,"National","No policy change.  http://web.archive.org/web/20201206102122/https://www.gov.uk/foreign-travel-advice/haiti/coronavirus","haiti","restrictions on gatherings between 11-100 people"
"Hungary","HUN",20201123,"C4: Restrictions on gatherings",4,"National","Up to 10 people can attend family and private events. A maximum of 50 people may attend a funeral.  Source: http://web.archive.org/web/20201130162224/https://koronavirus.gov.hu/aktualis","hungary","restrictions on gatherings of <= 10 people"
"Indonesia","IDN",20201119,"C4: Restrictions on gatherings",4,"Regional","Refer to notes for IDN C2 Dated Nov 19 2020.","indonesia","restrictions on gatherings of <= 10 people"
"India","IND",20201121,"C4: Restrictions on gatherings",4,"Regional","All districts in the state of Rajasthan will be placed under Section 144 (restrictions on gatherings above 4) from Nov 21.    https://web.archive.org/web/20201130195402/https://zeenews.india.com/india/night-curfew-section-144-check-latest-govt-covid-19-restrictions-in-delhi-mumbai-ahmedabad-2325800.html    Additionally, to arrest a second wave in Uttar Pradesh, the Yogi Adityanath government clamped Section 144 in the state capital, as Lucknow now is among six cities with high virus load. Effective from Nov 26th to Dec 1.   https://web.archive.org/web/20201130195532/https://www.businessinsider.in/india/news/section-144-imposed-in-lucknow-kanpur-ghaziabad-greater-noida-meerut-and-agra/articleshow/79423248.cms","india","restrictions on gatherings of <= 10 people"
"Ireland","IRL",20201124,"C4: Restrictions on gatherings",4,"National","Gatherings are not permitted except for small outdoor gatherings (involving two households but no number given)  https://web.archive.org/web/20201201204457/https://www.gov.ie/en/publication/2dc71-level-5/","ireland","restrictions on gatherings of <= 10 people"
"Iran","IRN",20201203,"C4: Restrictions on gatherings",4,"Regional","no change since last update     https://web.archive.org/web/20201202120136/https://www.arabnews.com/node/1756581/middle-east    JEDDAH:: Mosques, schools, universities, beauty salons, cafes, gyms, museums, theaters and swimming pools in 25 of Iran’s 31 provinces were ordered to close for 10 days from next Wednesday.    In Tehran, the closure of beauty salons, teahouses, cinemas, libraries and fitness clubs has been extended for a week.     Police will make unannounced visits to other high-risk businesses, and any found to be breaking health rules will be shut down. Weddings, funeral gatherings and conferences in the capital have been banned.  ","iran","restrictions on gatherings of <= 10 people"
"Iraq","IRQ",20201124,"C4: Restrictions on gatherings",1,"National","No change:  https://web.archive.org/web/20201207205146/https://iq.usembassy.gov/covid-19-information/","iraq","restrictions on gatherings > 1000 people"
