"CountryName","intl_travel-CountryCode","intl_travel-Date","International Travel","intl_travel-PolicyValue","intl_travel-Flag","intl_travel-Notes","intl_travel-region","intl_travel-value"
"Brunei","BRN",20201201,"C8: International travel controls",2,NA,"No change. Immediate isolation for up to 14 days at a designated monitoring center  US Embassy Link: http://web.archive.org/web/20201206064005/https://bn.usembassy.gov/u-s-citizen-services-covid-19-information/  ","brunei","quarantine arrivals from some/ all regions"
"Bhutan","BTN",20201124,"C8: International travel controls",3,NA,"Bhutan’s borders are currently closed to foreign nationals, including British citizens. Foreigners, with the exception of citizens from India, Bangladesh and the Maldives nationals, may only enter or depart the country through certain towns such as Phuntsoling, Samdrup Jongkhar and Gelephug (by road) or Paro (by air).    http://web.archive.org/web/20201208100644/https://www.gov.uk/foreign-travel-advice/bhutan/entry-requirements","bhutan","ban arrivals from some regions"
"Botswana","BWA",20201130,"C8: International travel controls",2,NA,"No change.   Charter flights are available for tourists into Kasane and Maun. Please check directly with charter companies and tour companies regarding the most current regulations.  Limited Commercial flights into Botswana are operating through South Africa and Ethiopia, though additional restrictions for U.S. citizens traveling from high risk countries may be in place for some transit countries. All incoming travelers require a negative COVID-19 test within 72 hours of their departure for Botswana. All symptomatic passengers will be required to quarantine at their own expense, as will all those who do not meet the test requirements. Please note that enforcement of regulations may not be consistent.  https://web.archive.org/web/20201206231725/https://bw.usembassy.gov/covid-19-information/","botswana","quarantine arrivals from some/ all regions"
"Central African Rep.","CAF",20201124,"C8: International travel controls",2,NA,"Employees from international organizations, NGOs and diplomatic missions arriving by international flights are subject to a 14-day quarantine. Land borders are open and the provision of commercial goods that arrive predominantly from neighbouring Cameroun is assured, however, delays are reported. https://web.archive.org/web/20201207181557if_/https://reports.unocha.org/en/country/car/","central african rep.","quarantine arrivals from some/ all regions"
"Canada","CAN",20201129,"C8: International travel controls",3,NA,"On 29 November, federal Ministers announced that the ban on non-essential travel to Canada from countries other than the United States (US) and that the Mandatory Isolation Order for 14 days applying to essential travelers and Canadians returning from countries other than the US would be extended until 21 January 2021. These same measures continue to apply to travel from the US until 21 December 2020 and may be extended by a further month. Beginning 21 January 2021, Canada may be in a position to align extension dates for policies applying to travel from the US and from countries other than the US.  https://web.archive.org/web/20201130192516/https://www.canada.ca/en/public-safety-canada/news/2020/11/government-of-canada-announces-extension-of-travel-restrictions.html","canada","ban arrivals from some regions"
"Switzerland","CHE",20201201,"C8: International travel controls",3,NA,"No change since last entry","switzerland","ban arrivals from some regions"
"Chile","CHL",20201124,"C8: International travel controls",2,NA,"""Between November 23 and December 7, non-resident foreigners entering Chile who were in a high-risk country (including the United States) at any time within 14 days prior to their travel to Chile will have to complete a mandatory 14-day self-quarantine upon entering Chile, even with a negative PCR test. If the traveler’s final destination in Chile is outside of Santiago, they will have 24 hours to arrive at their final destination to begin quarantine.""   https://web.archive.org/web/*/https://cl.usembassy.gov/covid-19-information/","chile","quarantine arrivals from some/ all regions"
"China","CHN",20201122,"C8: International travel controls",3,NA,"No policy change","china","ban arrivals from some regions"
"Côte d'Ivoire","CIV",20201201,"C8: International travel controls",1,NA,"No policy change","côte d'ivoire","screening arrivals"
"Cameroon","CMR",20201124,"C8: International travel controls",1,NA,"The Embassy of the US in Cameroon confirms that there is screening for passengers. Although quarantine is not required, travellers are encouraged to limit contact with others for 14 days after their trip. Please see:  https://web.archive.org/web/20201206224307/https://cm.usembassy.gov/covid-19-information/  ","cameroon","screening arrivals"
"Dem. Rep. Congo","COD",20201123,"C8: International travel controls",2,NA,"No update available ","dem. rep. congo","quarantine arrivals from some/ all regions"
"Congo","COG",20201130,"C8: International travel controls",2,NA,"all international passengers are required to self-quarantine for two weeks in their residence or hotel for 14 day upon arrival. Passengers in transit will be quarantined at their expense at designated facilities until they resume their travels.    There are also health procedures at the point of entry. Please see: https://web.archive.org/web/20201206214100/https://cg.usembassy.gov/covid-19-information/","congo","quarantine arrivals from some/ all regions"
"Colombia","COL",20201119,"C8: International travel controls",4,NA,"Commercial flights are now operating to and from Colombia on a limited number of routes.  ","colombia","ban on all regions/total border closure"
"Cape Verde","CPV",20201109,"C8: International travel controls",1,NA,"Cape Verde air and sea borders are open.    All arrivals to Cabo Verde must present a negative RT-PCR test, no older than 72 hours.  All arrivals must complete a health surveillance form before boarding.    https://web.archive.org/web/20201123203106/https://covid19.cv/governo-vai-aprovar-reabertura-dos-voos-internacionais-nos-aeroportos-internacionais-do-pais/    https://web.archive.org/web/20201123155427/https://www.tripsguard.com/destination/cabo-verde/  ","cape verde","screening arrivals"
"Costa Rica","CRI",20201124,"C8: International travel controls",1,NA,"No updates to screening as per the US Embassy in Costa Rica    https://web.archive.org/web/20201119142437/https://cr.usembassy.gov/covid-19-information/  ","costa rica","screening arrivals"
"Cuba","CUB",20201130,"C8: International travel controls",1,NA,"All airports in Cuba are open again for commercial and charter flights. Havana Airport re-opened on 15 November 2020.  Source: https://web.archive.org/web/20201201181436/https://www.gov.uk/foreign-travel-advice/cuba/coronavirus","cuba","screening arrivals"
"Cyprus","CYP",20201130,"C8: International travel controls",3,NA,"No change in policy.    The Visit Cyprus travel website lists the Category A and B countries of origin that are permitted to enter Cyprus. Category C countries remain banned.    https://web.archive.org/web/20201202174327/https://www.visitcyprus.com/index.php/en/cyprus-covid19-travel-protocol","cyprus","ban arrivals from some regions"
"Czech Republic","CZE",20201117,"C8: International travel controls",3,NA,"It is now possible to travel to a 'red' country for up to 24 hours without a pCR test, if travelling for medical, family, or work reasons. It is also now possible to meet a partner from a country from which a visa is required to enter the Czech Republic, if they have proved they are in a long-term relationship.   https://web.archive.org/web/20201120194050/https://koronavirus.mzcr.cz/vlada-navrhne-prodlouzeni-nouzoveho-stavu-do-20-prosince-minimalni-mzda-se-ma-zvysit-o-600-korun/","czech republic","ban arrivals from some regions"
"Germany","DEU",20201130,"C8: International travel controls",3,NA,"Since November 8th, a mandatory quarantine of ten days has been in effect for all people entering from risk areas. The quarantine can be shortened if travelers can present a negative corona test no earlier than the fifth day after arrival.  There are no pandemic-related restrictions for entry from the other member states of the European Union as well as from the United Kingdom, Switzerland, Liechtenstein, Norway and Iceland. The current entry restrictions relate to entries from third countries.    However, the respective infection protection regulations of the federal states (including with regard to quarantine and reporting obligations) as well as the obligation to digitally register for entry must be observed by all people entering from risk areas.    Für Personen, die in anderen als den vorstehend genannten Drittstaaten ansässig sind, gelten die bisherigen Einreisebeschränkungen fort, d.h. sie dürfen nur nach Deutschland einreisen, wenn sie eine wichtige Funktion ausüben oder ihre Reise zwingend notwendig ist (siehe hierzu ""Wann ist die zwingende Notwendigkeit der Einreise gegeben?""). Ansässig ist eine Person in einem Staat, wenn sie dort entweder ihren Wohnsitz oder ihren gewöhnlichen Aufenthalt hat. Ein Wohnsitz ist insbesondere dann begründet, wenn die letzten 6 Monate dort verbracht wurden.  https://web.archive.org/save/https://www.zusammengegencorona.de/informieren/alltag-gestalten/#faqitem=e2df90f7-8f7a-5c51-b42f-ecaffbcfe5f9  https://web.archive.org/web/20201207221431/https://www.bmi.bund.de/SharedDocs/faqs/DE/themen/bevoelkerungsschutz/coronavirus/coronavirus-faqs.html;jsessionid=36F79BE0E1058BB7E14840089EE197C4.1_cid373","germany","ban arrivals from some regions"
"Djibouti","DJI",20201122,"C8: International travel controls",1,NA,"Is a negative COVID-19 test (PCR and/or serology) required for entry? All travelers must present a negative COVID test certificate within 72 hours of boarding any flight bound for Djibouti and not more than 120 hours prior to their arrival in Djibouti; all travelers will be screened upon arrival and must have a negative result in order to enter.    https://web.archive.org/web/20201126110524/https://dj.usembassy.gov/covid-19-information/","djibouti","screening arrivals"
"Dominica","DMA",20201202,"C8: International travel controls",2,NA,"Protocols updated 18 Nov 2020 - https://web.archive.org/web/20201208174918/https://dominica.gov.dm/images/documents/Travelprotocols_Portrait_rv8_Nov8.pdf.     There are four levels - CARICOM Bubble, Low Risk, Medium Risk, High Risk.     High Risk (most restrictive) must:   Submit a health questionnaire.   Upload a negative PCR test that is from the last 24-72 hours prior to arrival.   Get a Rapid Diagnostic Test upon arrival.   If positive, must get PCR test immediately and will be quarantined in government facility.   If negative, will be quarantined for 5 days.   After 5 days another PCR test is administered.   If positive, will be quarantined in government facility.   If negative, can be medically cleared. ","dominica","quarantine arrivals from some/ all regions"
"Denmark","DNK",20201124,"C8: International travel controls",3,NA,"The government continues to intensify border control. Countries and regions are classified as open, quarantine, or high-risk.     ""Persons residing in a country / region that is categorized as open (yellow) may travel into Denmark regardless of purpose.""    ""Persons residing in a quarantine country (within the EU, Schengen and the United Kingdom) that is not categorized as a high-risk country may travel into Denmark if they have a recognizable purpose for the trip.""    ""Persons residing in a high-risk country (within the EU, Schengen and the United Kingdom)must enter Denmark with a recognizable purpose, but must also be able to show a certificate of a negative COVID-19 test, which must have been taken a maximum of 72 hours before entry.""    ""Countries outside the EU, Schengen and the United Kingdom are currently by definition quarantined countries. See exceptions, ie. third countries categorized as open, further down the page...Persons residing in one of these quarantine countries must enter Denmark with a recognizable purpose, but must also be able to show a test on a negative COVID-19 test, which must have been taken a maximum of 72 hours before entry.""    http://web-old.archive.org/web/20201124082233/https://coronasmitte.dk/rejser-ind-i-danmark/er-mit-land-len-aabent-eller-i-karantaene    http://web-old.archive.org/web/20201124073155/https://coronasmitte.dk/overblik","denmark","ban arrivals from some regions"
"Dominican Republic","DOM",20201117,"C8: International travel controls",1,NA,"No policy change","dominican republic","screening arrivals"
"Algeria","DZA",20201122,"C8: International travel controls",4,NA,"Algeria closed all land borders and suspended non-cargo international air and maritime travel as of March 17 and suspended domestic flights as of March 22.  Are commercial flights operating? No   Only special commercial repatriation flights are in operation","algeria","ban on all regions/total border closure"
"Ecuador","ECU",20201124,"C8: International travel controls",2,NA,"Ecuador continues requiring travelers to show proof of a negative COVID test taken within a 7-day period before arrival. For those who don't arrive with test results, they are required to quarantine (el APO) in specified accomodation (i.e. hotel room) and pay for the reservation, food, and service themselves. A person in quarantine must get tested and may leave only if they test negative and with approval of the Ministry of Public Health (MSP abbreviation in Spanish).     Link:  https://web.archive.org/web/20201129172532/https://www.salud.gob.ec/wp-content/uploads/2020/08/PROTOCOLO-PMU-COE-PIVAPSAPO-verion-2.0.pdf","ecuador","quarantine arrivals from some/ all regions"
"Egypt","EGY",20201122,"C8: International travel controls",1,NA,"The Egyptian Government has announced that all passengers travelling to Egypt (including Egyptians) must be in possession of negative PCR test certificate for COVID-19, taken at a maximum of 72 hours before their flight departure time.  However, passengers travelling from Japan, China, Thailand, North America, South America, Canada, London Heathrow, Paris, and Frankfurt will be allowed to provide the test certificate performed at a maximum of  96 hours prior to flight departure, due to the long travel and transit period from these airports.  Travelers must present paper copies of the test results; digital copies will not be accepted. Children under the age of six of all nationalities are exempt.    https://web.archive.org/web/20201121114711/https://eg.usembassy.gov/u-s-citizen-services/covid-19-information/","egypt","screening arrivals"
"Eritrea","ERI",20201116,"C8: International travel controls",4,NA,"No change. ""Land borders are closed for citizens of every country and there are no commercial flights into Eritrea. Source: https://web.archive.org/web/20201115141839/https://er.usembassy.gov/covid-19-information/    Eritrea’s land borders are closed and international and domestic flights are suspended until further notice. There are occasional charter flights organised by Embassies resident in Asmara. Source: https://web.archive.org/web/20201115143256/https://www.gov.uk/foreign-travel-advice/eritrea/coronavirus     While land borders are officially closed, the Eritrean embassy in the United States noted on Oct. 12 2020 that """"points of entry remain the long and porous land and sea borders of the country with the Sudan, Ethiopia, Djibouti, and Yemen. More than 18,000 Eritreans have returned through irregular routes in the past four months from these countries to-date. The GOE has established numerous quarantine centers (92 at its peak) along or in the environs of these entry points.  Rigorous testing routinely carried out in these quarantine centers will be bolstered by random, periodic and representative testing in all the border towns and villages to gauge the rate, if any, of potential transmission of the pandemic."""" - https://web.archive.org/web/20201115163833/https://us.embassyeritrea.org/2020/03/28/covid-19/    Legal residents of Eritrea who traveled to the United States for higher education, medical treatment, work, personal or leisure purposes who have been unable to return due to the COVID-19 travel restrictions to Eritrea were permitted to apply for re-entry as of September 14 - https://web.archive.org/web/20201115163552/https://us.embassyeritrea.org/wp-content/uploads/2020/09/Er_Legal_Residents_Returnees_COVID-19.pdf""","eritrea","ban on all regions/total border closure"
"Spain","ESP",20201130,"C8: International travel controls",3,NA,"no change in policy","spain","ban arrivals from some regions"
"Estonia","EST",20201024,"C8: International travel controls",3,NA,"At the border crossing points, i.e. ports, airports and checkpoints at Russian land borders, the travel documents and medical symptoms are checked. Border control personnel have legal rights to deny entering for persons who show symptoms of COVID-19, i.e. to deport them back to the country of arrival. A person entering Estonia from a country to which the quarantine requirements apply will have to provide the Police and Border Guard Board their address and confirm that they will remain at their place of stay for 14 days.  Foreigners are allowed to transit Estonia on the way to their home country if they do not show symptoms of COVID-19. The detailed information on this so called ""humanitarian corridor"" is provided by border control officials.  There are no restrictions for exiting the country.","estonia","ban arrivals from some regions"
"Ethiopia","ETH",20201129,"C8: International travel controls",2,NA,"No policy change identified following a review of previously used sources and a recent web search.","ethiopia","quarantine arrivals from some/ all regions"
"Finland","FIN",20201128,"C8: International travel controls",3,NA,"List of countries from which you can travel to Finland without restrictions in force from 23 November:     Other European countries: the Vatican  Residents of non-European countries: Australia, Japan, New Zealand, Rwanda, Singapore, South Korea, Thailand (Restrictions on entry will also be lifted for residents of the Hong Kong and Macao Special Administrative Regions who are travelling from these regions to Finland, provided that reciprocity is confirmed by the Council of the European Union)  https://web.archive.org/web/20201208043027/https://www.raja.fi/current_issues/guidelines_for_border_traffic  ","finland","ban arrivals from some regions"
"Fiji","FJI",20201124,"C8: International travel controls",3,NA,"Only Fijian citizens and residents are permitted to enter Fiji at this time.•People from any other countries cannot enter unless they have specific grounds for exemption. https://web.archive.org/web/20200918195824/http://www.health.gov.fj/wp-content/uploads/2020/08/Fiji-COVID-19-Border-Control-Measures.pdf","fiji","ban arrivals from some regions"
"France","FRA",20201201,"C8: International travel controls",3,NA,"Internal European borders will remain open but external borders are closed except for essential travel. All travellers arriving in France will be tested at airports and ports.  https://web.archive.org/save/https://www.gouvernement.fr/en/coronavirus-covid-19","france","ban arrivals from some regions"
"Faeroe Islands","FRO",20201203,"C8: International travel controls",2,NA,"3rd Dec 2020, Mandatory border testing continues until 31 March. This strategy has played an important role in limiting the spread of the virus; however, the commission is keen to point out that testing travellers are only part of the solution.    Social distancing, good hygiene, staying at home if any symptoms appear and taking a follow-up test on day six after arriving from abroad remain crucial in the fight against Covid-19, says the epidemic commission.    https://web.archive.org/web/20201208143045/https://corona.fo/news/734/mandatory-border-testing-continues-until-31-march?_l=en","faeroe islands","quarantine arrivals from some/ all regions"
"Gabon","GAB",20201124,"C8: International travel controls",2,NA,"No new update  Sources: http://web.archive.org/web/20201207171622/https://www.gov.uk/foreign-travel-advice/gabon/entry-requirements  ","gabon","quarantine arrivals from some/ all regions"
"United Kingdom","GBR",20201203,"C8: International travel controls",2,NA,"http://web.archive.org/web/20201207234123/https://www.gov.uk/guidance/tier-3-very-high-alert?priority-taxon=774cee22-d896-44c1-a611-e3109cce8eae","united kingdom","quarantine arrivals from some/ all regions"
"Georgia","GEO",20201201,"C8: International travel controls",3,NA,"With a few exceptions, Georgia remains closed to foreign travelers. The entry ban for foreign citizens applies to air, land, and sea borders, including foreign citizens who are legal residents of Georgia, or have been living and working in Georgia, or own property or business. Also, there are health screening procedures in place at airports and other ports of entry.  Link: https://archive.fo/wip/LILgr","georgia","ban arrivals from some regions"
"Ghana","GHA",20201124,"C8: International travel controls",1,NA,"No policy change","ghana","screening arrivals"
"Guinea","GIN",20201201,"C8: International travel controls",2,NA,"No changes. ","guinea","quarantine arrivals from some/ all regions"
"Gambia","GMB",20201124,"C8: International travel controls",1,NA,"No changes  https://web.archive.org/save/https://gm.usembassy.gov/u-s-citizen-services/covid-19-information/?_ga=2.222803228.685612913.1606144271-1301692634.1606144271","gambia","screening arrivals"
"Greece","GRC",20201201,"C8: International travel controls",3,NA,"No change in policy.","greece","ban arrivals from some regions"
"Greenland","GRL",20201107,"C8: International travel controls",3,NA,"Visit Greenland’s Q&A response to ‘Who can enter Greenland’ is “Travellers with residence in the following countries have conditional permission to travel to the Kingdom of Denmark, including Greenland – see here. The numbers are re-evaluated on a weekly basis, and therefore a country’s status can change between open and closed. There is no longer a limit on how many persons may arrive to Greenland.” Source: http://web.archive.org/web/20201108215641/https://visitgreenland.com/corona-faq/  A hyperlink followed by pressing “see here” went to a coronavirus site ran by the Danish Authorities which had a    “List of high-risk countries within the EU and the Schengen area as well as the United Kingdom applicable from 7 November 2020 00.00 (in Danish)  Countries/regions added to the list of banned countries  Innlandet, Norway?Oslo, Norway?Vestland, Norway?Viken, Norway?Västerbotten, Sweden?Västernorrland, Sweden?Estonia”   Source: http://web.archive.org/web/20201108215839/https://coronasmitte.dk/en/entry-into-denmark/is-my-country-open-or-banned  Also, “From Monday 9 November, the airspace over Greenland will be closed and therefore there can only be approach to Greenland from Copenhagen Airport. Certain types of flights are excluded, such as emergency flights.” “The increased control over the entrance to Greenland is taking place as an additional measure to protect Greenland in relation to the Corona infection. It is the Self-Government that has asked the Danish authorities to close the airspace in order to have gathered all travelers in one place and thus ensure that everyone is subjected to the same control and test, as well as information. It is not yet known how long the closure will last.” Source: http://web.archive.org/web/20201108220102/https://www.nun.gl/nyheder_covid19/2020/11/0611_kun-en-indgang-til-groenland?sc_lang=da","greenland","ban arrivals from some regions"
"Guatemala","GTM",20201129,"C8: International travel controls",1,NA,"No policy change.    https://web.archive.org/web/20201205084005/https://www.gov.uk/foreign-travel-advice/guatemala/coronavirus","guatemala","screening arrivals"
"Guam","GUM",20201123,"C8: International travel controls",2,NA,"No new update","guam","quarantine arrivals from some/ all regions"
"Guyana","GUY",20201201,"C8: International travel controls",1,NA,"No updates:  https://web.archive.org/web/20201204235543/https://gy.usembassy.gov/health-alert-guyana-covid-19-information-update/","guyana","screening arrivals"
"Hong Kong","HKG",20201204,"C8: International travel controls",3,NA,"As of December 4, travel to Hong Kong is subject to entry restrictions. Specified conditions including negative test results are imposed on inbound travellers who have visited specified places.  Source:   http://web.archive.org/web/20201205091252/https://www.gov.uk/foreign-travel-advice/hong-kong  http://web.archive.org/web/20201205085856/https://www.coronavirus.gov.hk/eng/high-risk-places.html","hong kong","ban arrivals from some regions"
"Honduras","HND",20201115,"C8: International travel controls",2,NA,"No policy change.  http://web.archive.org/web/20201206092842/https://www.sica.int/coronavirus/observatorioSICACOVID19/medidas/honduras","honduras","quarantine arrivals from some/ all regions"
"Croatia","HRV",20201129,"C8: International travel controls",2,NA,"No change found. ","croatia","quarantine arrivals from some/ all regions"
"Haiti","HTI",20201124,"C8: International travel controls",2,NA,"No policy change.  http://web.archive.org/web/20201206102122/https://www.gov.uk/foreign-travel-advice/haiti/coronavirus","haiti","quarantine arrivals from some/ all regions"
"Hungary","HUN",20201123,"C8: International travel controls",4,NA,"Foreigners without a residence permit are banned from visiting Hungary as of September 1.  Source: http://web.archive.org/web/20201130162450/https://hu.usembassy.gov/covid-19/","hungary","ban on all regions/total border closure"
